step,loss,mean_q,max_q,epsilon,buffer,steps_per_sec
5000,0.20939,-0.0174,0.0374,0.955,5000,53.91
6000,0.65885,-0.2691,-0.0487,0.946,6000,55.61
7000,0.17864,-0.4853,-0.2936,0.937,7000,56.8
8000,0.44204,-0.7212,-0.5424,0.928,8000,57.7
9000,0.61843,-0.9513,-0.7103,0.919,9000,58.39
10000,0.09726,-1.0926,-0.2802,0.91,10000,50.19
11000,0.28655,-1.4053,-0.8521,0.901,11000,51.34
12000,0.20117,-1.6315,-0.8975,0.892,12000,52.23
13000,0.25819,-1.556,5.6125,0.883,13000,53.05
14000,0.28358,-1.9983,-1.417,0.874,14000,53.75
15000,0.25201,-2.2477,-1.5033,0.865,15000,54.36
16000,0.71601,-1.9736,-1.346,0.856,16000,54.9
17000,0.19602,-2.1878,3.722,0.847,17000,55.39
18000,0.20795,-2.3042,-1.4099,0.838,18000,51.16
19000,0.19169,-2.9597,-2.0236,0.829,19000,51.69
20000,0.28034,-2.8161,3.9715,0.82,20000,52.22
21000,0.1042,-3.4958,-1.7024,0.811,21000,52.69
22000,0.43424,-3.5419,-2.2022,0.802,22000,53.14
23000,0.01506,-3.8327,-2.5046,0.793,23000,53.57
24000,0.27609,-3.6486,-2.3918,0.784,24000,53.94
25000,0.45666,-4.06,-2.7267,0.775,25000,54.31
26000,0.52412,-4.1231,-2.628,0.766,26000,51.24
27000,0.56642,-3.7769,2.8908,0.757,27000,51.59
28000,0.20826,-4.4664,-2.9781,0.748,28000,51.95
29000,0.2544,-4.8915,-3.1616,0.739,29000,52.3
30000,0.17559,-4.9841,-3.2071,0.73,30000,52.64
31000,0.16329,-5.1657,-3.258,0.721,31000,52.94
32000,0.26795,-5.5372,-3.2856,0.712,32000,53.23
33000,0.29334,-5.3085,2.1021,0.703,33000,53.51
34000,0.62985,-5.1615,2.0723,0.694,34000,53.59
35000,0.46451,-5.8704,-3.5684,0.685,35000,53.8
36000,0.12551,-5.8866,-2.7881,0.676,36000,54.02
37000,0.2008,-6.0884,-3.4576,0.667,37000,54.26
38000,0.42316,-6.8497,2.4891,0.658,38000,54.47
39000,0.37672,-6.1771,-2.1254,0.649,39000,54.67
40000,0.38972,-6.497,-3.7945,0.64,40000,54.86
41000,0.27152,-6.0972,-2.9939,0.631,41000,55.03
42000,0.95751,-6.0476,1.5564,0.622,42000,55.21
43000,0.68533,-6.7683,-3.4428,0.613,43000,55.27
44000,0.38507,-6.7131,-3.5453,0.604,44000,55.42
45000,0.26883,-7.3312,-2.2525,0.595,45000,55.57
46000,0.7057,-6.7159,-3.2222,0.586,46000,55.71
47000,0.60147,-6.6099,0.7047,0.577,47000,55.84
48000,0.40551,-7.4477,-3.2637,0.568,48000,55.96
49000,0.24482,-6.3305,-1.8456,0.559,49000,56.07
50000,0.4445,-5.7996,-1.7443,0.55,50000,56.09
51000,0.68471,-6.4246,-1.8004,0.541,51000,56.2
52000,0.30671,-5.8335,-0.3073,0.532,52000,56.3
53000,0.36479,-6.206,0.5888,0.523,53000,56.4
54000,0.37263,-6.3533,-1.0136,0.514,54000,56.5
55000,0.48739,-7.1537,-3.2429,0.505,55000,56.6
56000,0.49157,-6.688,-2.2874,0.496,56000,56.69
57000,0.30303,-6.7316,-2.1977,0.487,57000,56.78
58000,0.22733,-6.5509,2.9015,0.478,58000,55.27
59000,0.37559,-6.8251,-2.2889,0.469,59000,55.36
60000,1.24697,-6.7911,-0.4202,0.46,60000,55.44
61000,0.73906,-7.4307,-0.588,0.451,61000,55.53
62000,0.45131,-7.2116,3.0745,0.442,62000,55.62
63000,0.62283,-7.6409,-0.4264,0.433,63000,55.7
64000,0.73623,-4.4937,3.2599,0.424,64000,55.78
65000,0.49499,-5.8847,3.2667,0.415,65000,55.76
66000,0.69248,-7.4501,3.3704,0.406,66000,55.82
67000,0.3793,-7.477,-0.6007,0.397,67000,55.88
68000,0.43214,-5.9469,-0.8268,0.388,68000,55.94
69000,0.67813,-7.743,-1.4665,0.379,69000,56.0
