step,loss,mean_q,max_q,epsilon,buffer,steps_per_sec
70000,1.31253,-5.3298,2.5257,0.37,70000,56.06
71000,1.3521,-5.2828,2.3683,0.361,71000,54.86
72000,0.86257,-5.4453,0.3834,0.352,72000,54.9
73000,0.80717,-4.1759,2.5711,0.343,73000,54.96
74000,0.79095,-3.725,4.895,0.334,74000,55.02
75000,1.11801,-3.5967,4.3302,0.325,75000,55.07
76000,1.10375,-5.4043,2.2068,0.316,76000,55.11
77000,0.84402,-4.2447,7.7378,0.307,77000,55.16
78000,1.4181,-4.3954,6.8426,0.298,78000,55.22
79000,1.02021,-2.5274,8.1715,0.289,79000,55.27
80000,0.74974,-3.0829,6.7509,0.28,80000,54.22
81000,0.38868,-2.9943,8.443,0.271,81000,54.27
82000,0.711,-0.688,7.2096,0.262,82000,54.32
83000,0.73051,-2.4055,8.5787,0.253,83000,54.38
84000,0.65445,-1.6838,9.0712,0.244,84000,54.42
85000,0.90399,-2.2231,8.3457,0.235,85000,54.46
86000,1.07484,1.4462,12.525,0.226,86000,54.49
87000,0.72684,-0.3869,12.8025,0.217,87000,54.53
88000,0.65267,-1.1156,12.1497,0.208,88000,54.55
89000,1.20951,-0.331,14.4218,0.199,89000,54.57
90000,1.045,-1.2252,13.5751,0.19,90000,54.62
91000,1.56004,6.1037,20.749,0.181,91000,54.66
92000,0.84048,2.4378,18.1073,0.172,92000,54.7
93000,1.66156,7.896,23.2576,0.163,93000,54.74
94000,2.0159,8.697,24.4801,0.154,94000,54.72
95000,2.01982,10.916,27.9007,0.145,95000,54.76
96000,0.84292,6.395,22.6319,0.136,96000,54.79
97000,1.06847,11.4563,33.5852,0.127,97000,54.83
98000,0.9526,11.1628,31.7729,0.118,98000,54.86
99000,0.96877,19.3586,34.4805,0.109,99000,54.89
100000,1.69754,15.07,37.8805,0.1,100000,54.92
101000,1.50029,17.4536,35.0259,0.1,100000,54.09
102000,2.29888,24.506,49.1485,0.1,100000,54.12
103000,1.44391,23.6697,47.7906,0.1,100000,54.16
104000,1.7399,26.216,53.5998,0.1,100000,54.19
105000,1.5613,16.0666,46.629,0.1,100000,54.22
106000,2.41986,25.7414,53.6825,0.1,100000,54.26
107000,1.51931,22.931,57.4282,0.1,100000,54.3
108000,1.92291,30.099,55.2812,0.1,100000,53.56
109000,1.72607,34.0603,120.8309,0.1,100000,53.58
110000,1.74002,39.1258,64.9165,0.1,100000,53.62
111000,2.30268,43.9363,68.4967,0.1,100000,53.66
112000,2.68723,34.3092,64.7216,0.1,100000,53.7
113000,1.99823,36.4882,70.3481,0.1,100000,53.74
114000,2.12179,38.0164,67.298,0.1,100000,53.78
115000,1.25404,39.5991,63.0842,0.1,100000,53.81
116000,2.09885,43.2191,73.7811,0.1,100000,53.12
117000,3.37658,38.8969,68.2799,0.1,100000,53.16
118000,3.38377,44.0494,77.8103,0.1,100000,53.2
119000,1.60778,38.4645,74.7678,0.1,100000,53.24
120000,1.62534,41.2672,73.822,0.1,100000,53.28
121000,2.46451,48.2509,82.3804,0.1,100000,53.33
122000,2.49767,42.6285,82.7579,0.1,100000,53.38
123000,2.49089,51.534,84.5113,0.1,100000,52.74
124000,2.1293,60.1541,94.0621,0.1,100000,52.78
125000,1.68854,56.1603,89.6071,0.1,100000,52.83
126000,2.39179,62.0605,90.3412,0.1,100000,52.87
127000,2.40237,43.3271,87.4042,0.1,100000,52.91
128000,4.10024,52.4054,92.8506,0.1,100000,52.95
129000,2.85243,68.3331,96.699,0.1,100000,52.99
130000,4.45075,65.4365,103.0553,0.1,100000,52.41
131000,3.52328,74.6631,180.6329,0.1,100000,52.44
132000,5.69042,68.2488,104.6242,0.1,100000,52.47
133000,2.63554,76.5556,113.1143,0.1,100000,52.52
134000,2.46291,76.3788,108.9115,0.1,100000,52.56
135000,2.93208,77.8764,114.5732,0.1,100000,52.6
136000,2.74791,72.6568,116.5585,0.1,100000,52.64
137000,3.40394,90.4457,128.2346,0.1,100000,52.69
138000,3.84386,72.1836,121.5563,0.1,100000,52.68
139000,3.94615,88.5662,122.5097,0.1,100000,52.72
140000,5.46906,82.7313,134.322,0.1,100000,52.76
141000,5.93762,82.9723,133.5199,0.1,100000,52.79
142000,3.0741,92.5209,143.0232,0.1,100000,52.83
143000,5.11652,107.1145,149.4654,0.1,100000,52.86
144000,2.47659,98.5877,147.8241,0.1,100000,52.9
145000,4.63664,104.0857,143.7469,0.1,100000,52.9
146000,3.9984,110.8311,140.3464,0.1,100000,52.92
147000,3.80527,117.5781,147.8829,0.1,100000,52.96
148000,4.36251,112.4527,151.8695,0.1,100000,53.0
149000,3.02077,112.5187,152.2745,0.1,100000,53.04
150000,4.27294,121.5505,195.4848,0.1,100000,53.07
151000,3.69717,116.5023,142.6287,0.1,100000,53.1
152000,3.5021,111.0142,147.9473,0.1,100000,52.59
153000,4.35572,134.4686,166.883,0.1,100000,52.63
154000,4.6411,117.9002,163.4826,0.1,100000,52.67
155000,4.54846,123.7613,152.8779,0.1,100000,52.71
156000,2.61874,121.998,162.1091,0.1,100000,52.74
157000,3.05361,121.5028,160.2314,0.1,100000,52.77
158000,1.89021,133.8082,160.9517,0.1,100000,52.81
159000,2.98488,125.4912,163.3304,0.1,100000,52.33
160000,3.29846,139.8872,165.7071,0.1,100000,52.36
161000,3.24511,131.0961,213.9206,0.1,100000,52.39
162000,5.20621,125.7509,155.485,0.1,100000,52.42
163000,4.23522,127.5033,163.4645,0.1,100000,52.45
164000,5.21169,128.8988,166.3671,0.1,100000,52.49
165000,3.02039,143.4943,179.0663,0.1,100000,52.52
166000,5.23831,125.5977,173.3512,0.1,100000,52.08
167000,4.10989,139.1598,171.7097,0.1,100000,52.1
168000,3.69996,140.0634,186.8965,0.1,100000,52.13
169000,4.29405,138.737,179.7414,0.1,100000,52.16
170000,6.21039,163.3779,186.004,0.1,100000,52.19
171000,5.77774,147.3902,227.8866,0.1,100000,52.22
172000,3.0826,156.9398,194.4094,0.1,100000,52.25
173000,3.57721,168.5757,189.3262,0.1,100000,52.28
174000,3.11946,150.7273,188.9494,0.1,100000,51.88
175000,6.61194,146.305,186.5098,0.1,100000,51.9
176000,3.35694,147.83,185.8726,0.1,100000,51.93
177000,4.61004,155.1926,190.7407,0.1,100000,51.96
178000,5.32262,170.1629,202.0799,0.1,100000,51.99
179000,3.67721,169.0666,201.2146,0.1,100000,52.02
180000,7.16739,176.5372,213.4155,0.1,100000,52.06
181000,3.66487,183.7249,207.4106,0.1,100000,52.06
182000,6.46365,182.0277,214.9207,0.1,100000,52.09
183000,4.63724,174.8013,209.4124,0.1,100000,52.12
184000,4.16391,172.4573,214.9922,0.1,100000,52.14
185000,6.12349,181.997,219.5442,0.1,100000,52.17
186000,5.45665,166.0511,210.2106,0.1,100000,52.2
187000,3.59251,165.2697,202.7945,0.1,100000,52.2
188000,3.59691,170.5194,214.0709,0.1,100000,52.22
189000,5.67212,193.7876,210.9884,0.1,100000,52.25
190000,5.20514,180.6152,210.9086,0.1,100000,52.28
191000,3.14898,173.4006,212.7863,0.1,100000,52.3
192000,5.10687,179.2569,212.2858,0.1,100000,52.33
193000,3.81134,181.9541,217.7222,0.1,100000,52.36
194000,3.67562,174.0049,213.9786,0.1,100000,52.36
195000,4.68255,197.1509,228.7135,0.1,100000,52.39
196000,4.10292,188.3678,225.8075,0.1,100000,52.42
197000,5.04823,185.5882,231.4306,0.1,100000,52.44
198000,4.12027,185.7188,226.4317,0.1,100000,52.47
199000,3.55538,201.6435,232.568,0.1,100000,52.5
200000,5.82153,202.5139,225.6876,0.1,100000,52.52
201000,3.58775,207.154,282.9641,0.1,100000,52.15
202000,4.08067,206.3176,249.166,0.1,100000,52.17
203000,3.98752,212.1883,236.0709,0.1,100000,52.2
204000,3.9313,209.1301,245.6881,0.1,100000,52.22
205000,5.26848,200.3972,241.6439,0.1,100000,52.25
206000,6.28007,218.7125,255.5939,0.1,100000,52.28
207000,4.77686,216.076,246.0473,0.1,100000,52.3
208000,4.60473,225.9293,246.9909,0.1,100000,51.93
209000,4.9713,199.7542,239.7983,0.1,100000,51.96
210000,4.37878,215.9512,246.4529,0.1,100000,51.99
211000,2.86403,225.3796,252.5167,0.1,100000,52.01
212000,8.62214,230.0427,256.6272,0.1,100000,52.04
213000,4.25568,238.4695,272.0224,0.1,100000,52.07
214000,5.32116,230.166,258.0928,0.1,100000,52.1
215000,4.08093,230.9286,260.8673,0.1,100000,51.75
216000,4.10481,226.6691,268.8713,0.1,100000,51.78
217000,3.72327,239.4955,280.1286,0.1,100000,51.8
218000,3.61484,229.7632,270.1747,0.1,100000,51.83
219000,3.98605,245.3814,282.2448,0.1,100000,51.86
220000,5.58937,242.3514,288.0285,0.1,100000,51.88
221000,4.27467,249.7417,278.4046,0.1,100000,51.91
222000,5.48022,250.7573,282.0375,0.1,100000,51.58
223000,6.10073,252.7622,275.7936,0.1,100000,51.61
224000,3.44627,249.1214,279.3666,0.1,100000,51.63
225000,4.0394,246.9643,273.6786,0.1,100000,51.66
226000,5.79464,243.2343,267.284,0.1,100000,51.68
227000,3.15932,257.4005,276.8795,0.1,100000,51.71
228000,3.83571,243.7375,275.0373,0.1,100000,50.04
229000,4.86251,246.7263,279.4965,0.1,100000,50.07
230000,4.18021,239.405,262.2168,0.1,100000,50.1
231000,3.63745,250.9421,276.1955,0.1,100000,50.13
232000,3.83702,239.121,271.5345,0.1,100000,50.16
233000,5.39608,238.1587,275.7824,0.1,100000,50.19
234000,4.76028,256.3256,281.2964,0.1,100000,49.91
235000,4.00662,256.7413,277.3845,0.1,100000,49.94
236000,4.54584,258.6779,296.9238,0.1,100000,49.97
237000,5.23417,271.4336,300.0486,0.1,100000,50.0
238000,4.42589,270.2974,305.6776,0.1,100000,50.03
239000,5.65882,263.4436,294.5532,0.1,100000,50.06
240000,3.88805,265.2729,305.41,0.1,100000,50.09
241000,3.28682,266.152,300.2986,0.1,100000,49.81
242000,3.90736,282.2761,308.7541,0.1,100000,49.84
243000,5.00277,287.2456,315.1122,0.1,100000,49.87
244000,3.7668,291.0692,325.586,0.1,100000,49.9
245000,4.43806,292.6896,330.4282,0.1,100000,49.93
246000,4.63849,286.1838,323.7016,0.1,100000,49.96
247000,3.83453,296.5854,315.0171,0.1,100000,49.68
248000,6.63705,299.3248,320.5121,0.1,100000,49.71
249000,5.15422,296.1977,320.725,0.1,100000,49.74
250000,5.18476,310.2772,338.7923,0.1,100000,49.77
251000,6.85125,304.8866,337.8943,0.1,100000,49.8
252000,4.46332,293.2606,317.5782,0.1,100000,49.83
253000,4.80892,312.7673,341.1138,0.1,100000,49.86
254000,6.65222,308.4663,329.5357,0.1,100000,49.6
255000,3.46995,312.942,343.759,0.1,100000,49.63
256000,5.99403,304.3228,332.3954,0.1,100000,49.66
257000,6.306,304.6246,337.0737,0.1,100000,49.68
258000,5.59709,314.4562,339.6357,0.1,100000,49.71
259000,5.32229,316.3426,340.297,0.1,100000,49.73
260000,4.21608,328.588,353.9112,0.1,100000,49.49
261000,3.63436,317.0434,339.0297,0.1,100000,49.52
262000,4.88025,324.5725,360.3962,0.1,100000,49.55
263000,8.63456,317.8233,351.7982,0.1,100000,47.86
264000,6.24845,317.7537,345.0476,0.1,100000,47.89
265000,4.24152,328.6445,355.8488,0.1,100000,45.77
266000,5.66779,323.9622,344.0572,0.1,100000,45.81
267000,5.35703,326.1642,354.695,0.1,100000,45.85
268000,4.47961,339.4542,360.4976,0.1,100000,45.67
269000,4.21268,325.1626,349.7495,0.1,100000,45.71
270000,7.27696,332.7588,358.8842,0.1,100000,45.74
271000,7.77532,338.0611,376.5899,0.1,100000,44.96
272000,6.45282,337.7166,370.0419,0.1,100000,45.0
273000,3.81454,333.7776,365.3181,0.1,100000,45.03
274000,4.19935,327.0134,357.292,0.1,100000,44.38
275000,3.63608,339.6123,367.5719,0.1,100000,44.42
276000,4.9358,339.1495,364.2761,0.1,100000,44.45
277000,5.81267,335.5157,364.687,0.1,100000,44.49
278000,6.93185,325.8064,352.6957,0.1,100000,44.52
279000,5.08263,334.7509,363.4835,0.1,100000,44.56
280000,3.67526,340.0696,360.051,0.1,100000,44.59
281000,5.94587,339.6332,371.5205,0.1,100000,44.63
282000,3.03969,341.9291,373.2958,0.1,100000,44.66
283000,4.53337,340.1343,360.6734,0.1,100000,44.7
284000,5.36171,338.5392,360.2278,0.1,100000,44.73
285000,6.08077,344.8276,374.1211,0.1,100000,44.77
286000,5.21652,354.7585,384.4692,0.1,100000,44.8
287000,5.03176,358.4799,384.4756,0.1,100000,44.83
288000,6.25954,346.9924,385.7098,0.1,100000,44.87
289000,4.40979,366.0672,390.4163,0.1,100000,44.9
290000,5.16217,351.3831,378.9828,0.1,100000,44.93
291000,4.3944,375.5524,404.5881,0.1,100000,44.94
292000,3.37882,365.769,390.9571,0.1,100000,44.94
293000,4.12759,345.0507,385.3401,0.1,100000,44.96
294000,4.25351,370.1766,393.3921,0.1,100000,44.98
295000,5.87089,362.4769,394.1953,0.1,100000,45.0
296000,4.52248,357.8054,392.3596,0.1,100000,45.02
297000,6.86755,352.0839,395.4046,0.1,100000,45.04
298000,3.98781,360.2322,392.7816,0.1,100000,45.06
299000,5.0411,353.6935,384.8693,0.1,100000,45.07
300000,4.3055,362.0914,386.2843,0.1,100000,44.92
301000,6.58704,360.2557,378.0201,0.1,100000,44.62
302000,4.94445,363.1506,390.9052,0.1,100000,44.32
303000,4.12739,361.5109,385.7973,0.1,100000,44.04
304000,5.38565,358.7777,387.9409,0.1,100000,43.75
305000,6.59586,352.1454,380.5126,0.1,100000,43.48
306000,5.30382,354.4699,380.6712,0.1,100000,43.21
307000,4.66117,350.7877,378.2031,0.1,100000,42.93
308000,4.33788,352.4356,375.4713,0.1,100000,42.67
309000,5.37996,336.6578,365.7071,0.1,100000,42.42
310000,5.28927,343.7993,374.2795,0.1,100000,42.17
311000,5.40466,351.5686,377.6232,0.1,100000,41.93
312000,4.50716,359.032,392.1228,0.1,100000,41.68
313000,4.22359,360.8108,389.5695,0.1,100000,41.45
314000,4.02117,352.4557,383.2561,0.1,100000,41.21
315000,3.1054,349.2979,376.2241,0.1,100000,40.99
316000,5.31637,353.4268,385.939,0.1,100000,40.76
317000,4.60902,368.216,394.724,0.1,100000,40.55
318000,4.90148,360.8412,385.8055,0.1,100000,40.33
319000,5.26121,352.6378,372.5858,0.1,100000,40.12
320000,4.99342,358.1273,389.6034,0.1,100000,39.91
321000,16.87722,351.5735,388.5508,0.1,100000,39.71
322000,5.77764,359.9102,379.6424,0.1,100000,37.62
323000,5.25216,360.9161,383.4647,0.1,100000,37.66
324000,3.73319,359.7117,390.1436,0.1,100000,37.7
325000,5.94609,358.4937,386.1544,0.1,100000,37.74
326000,4.66517,368.0587,396.3824,0.1,100000,37.78
327000,6.13556,376.4456,412.1325,0.1,100000,37.82
328000,6.12023,377.3354,413.485,0.1,100000,37.86
