device: mps
target network: OFF (2013 paper as published)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   73.7 steps/s | 0.3 min
ep   510 | step    76891 | reward     3.37 | avg100   107.05 | eps 0.308 | q   11.96 |   62.5 steps/s | 20.5 min
ep   520 | step    78833 | reward   320.49 | avg100   113.40 | eps 0.291 | q   31.71 |   62.4 steps/s | 21.1 min
ep   530 | step    80423 | reward    66.31 | avg100   113.30 | eps 0.276 | q   38.34 |   62.4 steps/s | 21.5 min
ep   540 | step    82371 | reward   163.91 | avg100   116.39 | eps 0.259 | q   36.06 |   62.3 steps/s | 22.0 min
ep   550 | step    84415 | reward   212.29 | avg100   116.86 | eps 0.240 | q   29.33 |   62.2 steps/s | 22.6 min
ep   560 | step    86605 | reward    14.12 | avg100   129.89 | eps 0.221 | q   42.33 |   62.2 steps/s | 23.2 min
ep   570 | step    88234 | reward   132.84 | avg100   141.34 | eps 0.206 | q   43.47 |   62.1 steps/s | 23.7 min
ep   580 | step    90543 | reward   359.88 | avg100   159.34 | eps 0.185 | q   63.08 |   62.0 steps/s | 24.3 min
ep   590 | step    92464 | reward   112.02 | avg100   173.94 | eps 0.168 | q   61.43 |   62.0 steps/s | 24.9 min
ep   600 | step    94413 | reward   429.62 | avg100   190.94 | eps 0.150 | q   47.18 |   61.9 steps/s | 25.4 min
ep   610 | step    96395 | reward   259.15 | avg100   203.54 | eps 0.132 | q   58.48 |   61.9 steps/s | 26.0 min
ep   620 | step    98665 | reward   326.36 | avg100   230.09 | eps 0.112 | q   53.05 |   61.8 steps/s | 26.6 min
ep   630 | step   100767 | reward   814.20 | avg100   268.40 | eps 0.100 | q   71.51 |   61.7 steps/s | 27.2 min
ep   640 | step   102494 | reward   225.73 | avg100   277.20 | eps 0.100 | q   85.57 |   61.6 steps/s | 27.7 min
ep   650 | step   104317 | reward   111.31 | avg100   306.42 | eps 0.100 | q  101.14 |   61.6 steps/s | 28.2 min
ep   660 | step   106452 | reward   575.18 | avg100   317.07 | eps 0.100 | q  126.17 |   61.5 steps/s | 28.8 min
