episode,step,reward,length,running_avg,epsilon
1,100,-11.79,100,-11.79,0.9991
2,201,-8.37,101,-10.08,0.9982
3,344,-10.76,143,-10.31,0.9969
4,444,-13.33,100,-11.06,0.996
5,545,-4.57,101,-9.76,0.9951
6,664,1.18,119,-7.94,0.994
7,839,24.74,175,-3.27,0.9925
8,939,-14.54,100,-4.68,0.9916
9,1059,11.93,120,-2.84,0.9905
10,1221,6.88,162,-1.86,0.989
11,1322,-7.07,101,-2.34,0.9881
12,1422,-15.0,100,-3.39,0.9872
13,1602,0.41,180,-3.1,0.9856
14,1709,-5.64,107,-3.28,0.9846
15,1831,-6.18,122,-3.47,0.9835
16,1981,15.47,150,-2.29,0.9822
17,2082,-5.81,101,-2.5,0.9813
18,2182,-10.59,100,-2.95,0.9804
19,2283,-9.26,101,-3.28,0.9795
20,2473,3.04,190,-2.96,0.9778
21,2585,-2.73,112,-2.95,0.9767
22,2685,-14.73,100,-3.49,0.9758
23,2883,0.35,198,-3.32,0.9741
24,3015,1.67,132,-3.11,0.9729
25,3191,0.5,176,-2.97,0.9713
26,3358,10.39,167,-2.45,0.9698
27,3516,11.38,158,-1.94,0.9684
28,3623,-2.06,107,-1.95,0.9674
29,3723,-11.15,100,-2.26,0.9665
30,3891,9.2,168,-1.88,0.965
31,3997,-3.39,106,-1.93,0.964
32,4097,-15.38,100,-2.35,0.9631
33,4209,-4.36,112,-2.41,0.9621
34,4310,-9.34,101,-2.62,0.9612
35,4411,-8.95,101,-2.8,0.9603
36,4512,-6.27,101,-2.89,0.9594
37,4612,-14.55,100,-3.21,0.9585
38,4712,-12.97,100,-3.46,0.9576
39,4813,-7.07,101,-3.56,0.9567
40,4913,-17.12,100,-3.9,0.9558
41,5106,3.88,193,-3.71,0.9541
42,5206,-11.12,100,-3.88,0.9532
43,5398,-7.62,192,-3.97,0.9514
44,5556,10.74,158,-3.64,0.95
45,5657,-7.29,101,-3.72,0.9491
46,5758,-5.11,101,-3.75,0.9482
47,5937,-0.43,179,-3.68,0.9466
48,6072,-5.39,135,-3.71,0.9454
49,6172,-17.81,100,-4.0,0.9445
50,6286,-2.41,114,-3.97,0.9434
51,6409,-4.47,123,-3.98,0.9423
52,6560,-8.09,151,-4.06,0.941
53,6664,-3.93,104,-4.05,0.94
54,6778,-2.29,114,-4.02,0.939
55,6998,-1.26,220,-3.97,0.937
56,7187,-8.1,189,-4.05,0.9353
57,7287,-16.27,100,-4.26,0.9344
58,7392,-4.96,105,-4.27,0.9335
59,7493,-3.36,101,-4.26,0.9326
60,7680,-4.42,187,-4.26,0.9309
61,7781,-8.14,101,-4.32,0.93
62,7882,-5.24,101,-4.34,0.9291
63,7982,-21.01,100,-4.6,0.9282
64,8087,-2.43,105,-4.57,0.9272
65,8229,7.84,142,-4.38,0.9259
66,8329,-20.06,100,-4.62,0.925
67,8429,-16.61,100,-4.79,0.9241
68,8536,-4.7,107,-4.79,0.9232
69,8664,-7.13,128,-4.83,0.922
70,8796,6.9,132,-4.66,0.9208
71,8913,-5.29,117,-4.67,0.9198
72,9046,-6.61,133,-4.7,0.9186
73,9146,-13.68,100,-4.82,0.9177
74,9246,-13.98,100,-4.94,0.9168
75,9347,-5.31,101,-4.95,0.9159
76,9447,-11.83,100,-5.04,0.915
77,9562,-5.85,115,-5.05,0.914
78,9710,18.29,148,-4.75,0.9126
79,9811,-8.14,101,-4.79,0.9117
80,9975,-21.17,164,-5.0,0.9102
81,10147,0.64,172,-4.93,0.9087
82,10294,-11.18,147,-5.0,0.9074
83,10406,-4.8,112,-5.0,0.9064
84,10527,-3.87,121,-4.99,0.9053
85,10641,8.16,114,-4.83,0.9042
86,10777,-5.08,136,-4.84,0.903
87,10877,-15.95,100,-4.96,0.9021
88,11065,-3.53,188,-4.95,0.9004
89,11185,2.72,120,-4.86,0.8993
90,11313,0.46,128,-4.8,0.8982
91,11414,-7.79,101,-4.83,0.8973
92,11608,-5.92,194,-4.85,0.8955
93,11709,-9.47,101,-4.9,0.8946
94,11836,-6.91,127,-4.92,0.8935
95,11936,-11.22,100,-4.98,0.8926
96,12036,-12.56,100,-5.06,0.8917
97,12143,-1.84,107,-5.03,0.8907
98,12252,0.62,109,-4.97,0.8897
99,12420,12.35,168,-4.8,0.8882
100,12597,-10.29,177,-4.85,0.8866
101,12698,-3.73,101,-4.77,0.8857
102,12802,-4.44,104,-4.73,0.8848
103,12944,8.72,142,-4.54,0.8835
104,13044,-11.43,100,-4.52,0.8826
105,13162,6.65,118,-4.41,0.8816
106,13338,-1.67,176,-4.43,0.88
107,13506,1.39,168,-4.67,0.8785
108,13663,1.49,157,-4.51,0.877
109,13861,13.74,198,-4.49,0.8753
110,13972,1.35,111,-4.54,0.8743
111,14072,-10.37,100,-4.58,0.8734
112,14190,0.58,118,-4.42,0.8723
113,14327,-4.01,137,-4.47,0.8711
114,14494,-2.28,167,-4.43,0.8696
115,14594,-14.36,100,-4.51,0.8687
116,14716,-6.12,122,-4.73,0.8676
117,14816,-18.72,100,-4.86,0.8667
118,14916,-10.1,100,-4.85,0.8658
119,15087,-6.48,171,-4.83,0.8642
120,15261,2.77,174,-4.83,0.8627
121,15448,-4.51,187,-4.85,0.861
122,15549,-9.82,101,-4.8,0.8601
123,15650,-7.34,101,-4.88,0.8592
124,15750,-14.36,100,-5.04,0.8583
125,15861,-2.89,111,-5.07,0.8573
126,15962,-4.1,101,-5.21,0.8564
127,16089,-2.36,127,-5.35,0.8552
128,16190,-9.47,101,-5.43,0.8543
129,16329,9.03,139,-5.22,0.853
130,16514,4.45,185,-5.27,0.8514
131,16646,15.46,132,-5.08,0.8502
132,16775,-6.01,129,-4.99,0.849
133,16889,-5.92,114,-5.0,0.848
134,16993,-2.26,104,-4.93,0.8471
135,17094,-10.4,101,-4.95,0.8462
136,17269,10.81,175,-4.78,0.8446
137,17370,-2.95,101,-4.66,0.8437
138,17471,-8.55,101,-4.62,0.8428
139,17654,-8.78,183,-4.63,0.8411
140,17814,9.8,160,-4.37,0.8397
141,17943,25.89,129,-4.15,0.8385
142,18049,-2.25,106,-4.06,0.8376
143,18149,-15.23,100,-4.13,0.8367
144,18316,6.63,167,-4.17,0.8352
145,18502,4.27,186,-4.06,0.8335
146,18602,-10.7,100,-4.11,0.8326
147,18702,-16.92,100,-4.28,0.8317
148,18925,-10.46,223,-4.33,0.8297
149,19072,17.09,147,-3.98,0.8284
150,19173,-8.37,101,-4.04,0.8275
151,19274,-7.61,101,-4.07,0.8265
152,19393,-9.14,119,-4.08,0.8255
153,19494,-7.55,101,-4.12,0.8246
154,19617,-7.24,123,-4.17,0.8235
155,19785,0.22,168,-4.15,0.8219
156,19953,11.23,168,-3.96,0.8204
157,20053,-11.7,100,-3.91,0.8195
158,20153,-11.7,100,-3.98,0.8186
159,20358,33.65,205,-3.61,0.8168
160,20459,-3.86,101,-3.61,0.8159
161,20709,29.57,250,-3.23,0.8136
162,20898,-0.06,189,-3.18,0.8119
163,20998,-11.43,100,-3.08,0.811
164,21098,-10.8,100,-3.16,0.8101
165,21212,-4.46,114,-3.29,0.8091
166,21348,19.53,136,-2.89,0.8079
167,21504,17.15,156,-2.55,0.8065
168,21733,-1.32,229,-2.52,0.8044
169,21839,-2.93,106,-2.48,0.8035
170,21940,-4.79,101,-2.6,0.8025
171,22090,-1.78,150,-2.56,0.8012
172,22190,-10.59,100,-2.6,0.8003
173,22328,-3.92,138,-2.5,0.7991
174,22429,-3.77,101,-2.4,0.7981
175,22529,-12.22,100,-2.47,0.7972
176,22630,-9.63,101,-2.45,0.7963
177,22810,-7.81,180,-2.47,0.7947
178,22937,12.09,127,-2.53,0.7936
179,23048,-1.6,111,-2.46,0.7926
180,23148,-15.35,100,-2.41,0.7917
181,23249,-4.56,101,-2.46,0.7908
182,23356,-3.51,107,-2.38,0.7898
183,23494,-0.96,138,-2.34,0.7886
184,23594,-16.05,100,-2.46,0.7877
185,23789,7.25,195,-2.47,0.7859
186,23990,22.8,201,-2.19,0.7841
187,24199,37.72,209,-1.66,0.7822
188,24310,-1.54,111,-1.64,0.7812
189,24455,-6.45,145,-1.73,0.7799
190,24573,-5.85,118,-1.79,0.7789
191,24780,-5.71,207,-1.77,0.777
192,24934,0.09,154,-1.71,0.7756
193,25106,-8.05,172,-1.7,0.7741
194,25206,-18.12,100,-1.81,0.7732
195,25330,0.22,124,-1.7,0.772
196,25431,-8.04,101,-1.65,0.7711
197,25622,-3.67,191,-1.67,0.7694
198,25723,-10.21,101,-1.78,0.7685
199,25834,4.38,111,-1.86,0.7675
200,25964,-0.13,130,-1.75,0.7663
201,26064,-10.37,100,-1.82,0.7654
202,26241,-3.9,177,-1.82,0.7638
203,26459,6.5,218,-1.84,0.7619
204,26578,8.69,119,-1.64,0.7608
205,26678,-11.15,100,-1.81,0.7599
206,26786,-6.05,108,-1.86,0.7589
207,26947,3.08,161,-1.84,0.7575
208,27048,-4.81,101,-1.9,0.7566
209,27148,-17.12,100,-2.21,0.7557
210,27248,-14.17,100,-2.37,0.7548
211,27399,0.95,151,-2.26,0.7534
212,27499,-12.88,100,-2.39,0.7525
213,27622,12.57,123,-2.22,0.7514
214,27723,-3.64,101,-2.24,0.7505
215,27860,-9.5,137,-2.19,0.7493
216,27960,-16.61,100,-2.29,0.7484
217,28060,-14.48,100,-2.25,0.7475
218,28176,10.03,116,-2.05,0.7464
219,28345,-1.37,169,-2.0,0.7449
220,28523,12.47,178,-1.9,0.7433
221,28624,-5.51,101,-1.91,0.7424
222,28769,17.27,145,-1.64,0.7411
223,28883,3.64,114,-1.53,0.7401
224,29038,7.34,155,-1.31,0.7387
225,29162,-1.66,124,-1.3,0.7376
226,29263,-5.65,101,-1.32,0.7366
227,29368,-5.41,105,-1.35,0.7357
228,29558,-23.19,190,-1.49,0.734
229,29670,-3.25,112,-1.61,0.733
230,29798,1.96,128,-1.63,0.7318
231,29961,-4.49,163,-1.83,0.7304
232,30096,-2.17,135,-1.79,0.7291
233,30233,30.97,137,-1.43,0.7279
234,30352,3.68,119,-1.37,0.7268
235,30453,-5.59,101,-1.32,0.7259
236,30563,-2.39,110,-1.45,0.7249
237,30663,-15.52,100,-1.58,0.724
238,30846,-2.46,183,-1.51,0.7224
239,30946,-10.15,100,-1.53,0.7215
240,31046,-17.2,100,-1.8,0.7206
241,31160,6.52,114,-1.99,0.7196
242,31315,-7.58,155,-2.05,0.7182
243,31416,-3.36,101,-1.93,0.7173
244,31517,-4.69,101,-2.04,0.7164
245,31646,0.71,129,-2.08,0.7152
246,31747,-8.45,101,-2.05,0.7143
247,31860,4.45,113,-1.84,0.7133
248,31991,8.21,131,-1.65,0.7121
249,32129,15.62,138,-1.67,0.7108
250,32291,4.17,162,-1.54,0.7094
251,32397,-3.94,106,-1.51,0.7084
252,32574,16.64,177,-1.25,0.7068
253,32684,-0.68,110,-1.18,0.7059
254,32862,-4.09,178,-1.15,0.7043
255,32992,-1.1,130,-1.16,0.7031
256,33203,2.87,211,-1.24,0.7012
257,33367,1.3,164,-1.11,0.6997
258,33533,7.54,166,-0.92,0.6982
259,33633,-13.05,100,-1.39,0.6973
260,33733,-17.11,100,-1.52,0.6964
261,33907,4.12,174,-1.78,0.6948
262,34008,-4.45,101,-1.82,0.6939
263,34113,-2.4,105,-1.73,0.693
264,34223,-0.21,110,-1.62,0.692
265,34347,-4.74,124,-1.63,0.6909
266,34472,-4.4,125,-1.87,0.6898
267,34681,-9.4,209,-2.13,0.6879
268,34781,-12.41,100,-2.24,0.687
269,34895,5.19,114,-2.16,0.686
270,34996,-7.88,101,-2.19,0.685
271,35133,1.25,137,-2.16,0.6838
272,35254,22.03,121,-1.83,0.6827
273,35386,3.88,132,-1.76,0.6815
274,35502,5.32,116,-1.67,0.6805
275,35602,-13.37,100,-1.68,0.6796
276,35723,-0.36,121,-1.58,0.6785
277,35823,-17.49,100,-1.68,0.6776
278,35974,32.55,151,-1.48,0.6762
279,36074,-19.72,100,-1.66,0.6753
280,36289,-4.52,215,-1.55,0.6734
281,36416,28.96,127,-1.21,0.6723
282,36530,-1.96,114,-1.2,0.6712
283,36642,-7.55,112,-1.26,0.6702
284,36771,-7.43,129,-1.18,0.6691
285,36976,13.24,205,-1.12,0.6672
