device: mps
target network: ON (Nature 2015)
double DQN:     ON (van Hasselt 2016)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   78.8 steps/s | 0.3 min
ep   510 | step    78133 | reward   107.01 | avg100   105.41 | eps 0.297 | q   -5.99 |   31.4 steps/s | 41.5 min
ep   520 | step    80608 | reward   225.09 | avg100   118.34 | eps 0.275 | q   -1.92 |   31.8 steps/s | 42.3 min
ep   530 | step    82899 | reward   199.32 | avg100   133.53 | eps 0.254 | q   -1.62 |   32.1 steps/s | 43.0 min
ep   540 | step    85339 | reward   175.17 | avg100   153.77 | eps 0.232 | q    3.12 |   32.5 steps/s | 43.8 min
ep   550 | step    87839 | reward   255.48 | avg100   177.52 | eps 0.209 | q    2.75 |   32.8 steps/s | 44.6 min
ep   560 | step    90125 | reward   331.68 | avg100   185.49 | eps 0.189 | q    3.65 |   32.6 steps/s | 46.1 min
ep   570 | step    92503 | reward   410.07 | avg100   208.01 | eps 0.167 | q    7.91 |   31.6 steps/s | 48.8 min
ep   580 | step    94907 | reward   224.07 | avg100   230.18 | eps 0.146 | q    6.94 |   30.8 steps/s | 51.4 min
ep   590 | step    97369 | reward   546.84 | avg100   261.37 | eps 0.124 | q   12.91 |   30.0 steps/s | 54.2 min
ep   600 | step    99849 | reward   242.49 | avg100   291.48 | eps 0.101 | q   15.86 |   29.2 steps/s | 57.0 min
ep   610 | step   102349 | reward   433.33 | avg100   317.85 | eps 0.100 | q   19.75 |   28.5 steps/s | 59.8 min
ep   620 | step   104727 | reward   637.18 | avg100   344.27 | eps 0.100 | q   25.86 |   28.0 steps/s | 62.4 min
ep   630 | step   107190 | reward   591.49 | avg100   375.53 | eps 0.100 | q   33.17 |   27.4 steps/s | 65.2 min
ep   640 | step   109503 | reward   266.53 | avg100   396.10 | eps 0.100 | q   31.70 |   26.9 steps/s | 67.9 min
ep   650 | step   112003 | reward   566.62 | avg100   423.46 | eps 0.100 | q   38.97 |   26.4 steps/s | 70.7 min
ep   660 | step   114310 | reward   567.88 | avg100   436.80 | eps 0.100 | q   43.11 |   26.0 steps/s | 73.3 min
ep   670 | step   116590 | reward   805.80 | avg100   441.20 | eps 0.100 | q   44.06 |   25.7 steps/s | 75.5 min
ep   680 | step   118980 | reward   353.22 | avg100   455.88 | eps 0.100 | q   49.57 |   24.5 steps/s | 80.9 min
ep   690 | step   121410 | reward   265.77 | avg100   463.57 | eps 0.100 | q   55.15 |   24.3 steps/s | 83.2 min
ep   700 | step   123751 | reward   573.40 | avg100   464.07 | eps 0.100 | q   56.89 |   21.4 steps/s | 96.2 min
ep   710 | step   125810 | reward   449.03 | avg100   464.75 | eps 0.100 | q   74.53 |   21.7 steps/s | 96.8 min
ep   720 | step   128217 | reward   777.89 | avg100   473.40 | eps 0.100 | q   70.11 |   21.9 steps/s | 97.5 min
ep   730 | step   130650 | reward   718.18 | avg100   478.67 | eps 0.100 | q   78.52 |   22.2 steps/s | 98.2 min
ep   740 | step   133068 | reward   654.84 | avg100   492.94 | eps 0.100 | q   73.60 |   22.4 steps/s | 98.9 min
ep   750 | step   135177 | reward   295.94 | avg100   472.65 | eps 0.100 | q   84.72 |   22.6 steps/s | 99.5 min
ep   760 | step   137502 | reward   292.51 | avg100   486.45 | eps 0.100 | q   75.10 |   22.9 steps/s | 100.2 min
ep   770 | step   139895 | reward   517.77 | avg100   494.45 | eps 0.100 | q   97.07 |   23.1 steps/s | 100.9 min
ep   780 | step   142245 | reward   827.71 | avg100   492.69 | eps 0.100 | q   88.39 |   23.3 steps/s | 101.6 min
ep   790 | step   144674 | reward   824.40 | avg100   504.86 | eps 0.100 | q  109.16 |   23.6 steps/s | 102.3 min
ep   800 | step   147116 | reward   315.26 | avg100   518.31 | eps 0.100 | q  107.58 |   23.8 steps/s | 103.1 min
ep   810 | step   149568 | reward   368.04 | avg100   527.65 | eps 0.100 | q  106.68 |   24.0 steps/s | 103.8 min
ep   820 | step   151991 | reward   517.98 | avg100   520.50 | eps 0.100 | q  111.27 |   24.2 steps/s | 104.6 min
ep   830 | step   154451 | reward   398.42 | avg100   520.78 | eps 0.100 | q  105.77 |   24.4 steps/s | 105.4 min
ep   840 | step   156735 | reward   773.65 | avg100   510.86 | eps 0.100 | q  117.78 |   24.4 steps/s | 106.8 min
ep   850 | step   159173 | reward   568.66 | avg100   535.74 | eps 0.100 | q  133.23 |   24.2 steps/s | 109.6 min
ep   860 | step   161541 | reward   655.40 | avg100   540.90 | eps 0.100 | q  118.38 |   24.0 steps/s | 112.2 min
ep   870 | step   163996 | reward   383.66 | avg100   542.69 | eps 0.100 | q  130.19 |   23.8 steps/s | 115.0 min
ep   880 | step   166496 | reward   452.29 | avg100   559.81 | eps 0.100 | q  134.78 |   23.6 steps/s | 117.8 min
ep   890 | step   168934 | reward   465.36 | avg100   556.02 | eps 0.100 | q  132.38 |   23.4 steps/s | 120.5 min
ep   900 | step   171279 | reward   853.31 | avg100   565.59 | eps 0.100 | q  151.02 |   23.2 steps/s | 123.1 min
ep   910 | step   173779 | reward   743.45 | avg100   573.07 | eps 0.100 | q  161.39 |   23.0 steps/s | 125.9 min
ep   920 | step   176165 | reward   141.30 | avg100   582.13 | eps 0.100 | q  147.51 |   22.8 steps/s | 128.6 min
ep   930 | step   178615 | reward   417.73 | avg100   589.00 | eps 0.100 | q  164.49 |   22.7 steps/s | 131.4 min
ep   940 | step   181110 | reward   826.83 | avg100   604.38 | eps 0.100 | q  167.19 |   22.5 steps/s | 134.1 min
ep   950 | step   183497 | reward   704.35 | avg100   596.82 | eps 0.100 | q  175.57 |   22.4 steps/s | 136.8 min
ep   960 | step   185760 | reward   234.05 | avg100   597.43 | eps 0.100 | q  171.87 |   22.2 steps/s | 139.3 min
ep   970 | step   188260 | reward   743.00 | avg100   615.78 | eps 0.100 | q  190.81 |   22.1 steps/s | 142.1 min
ep   980 | step   190742 | reward   238.39 | avg100   608.21 | eps 0.100 | q  188.41 |   21.9 steps/s | 144.9 min
ep   990 | step   193214 | reward   660.87 | avg100   623.46 | eps 0.100 | q  196.81 |   21.8 steps/s | 147.7 min
ep  1000 | step   195714 | reward   775.00 | avg100   632.56 | eps 0.100 | q  195.70 |   21.7 steps/s | 150.5 min
ep  1010 | step   198214 | reward   653.21 | avg100   633.83 | eps 0.100 | q  199.25 |   21.6 steps/s | 153.3 min
ep  1020 | step   200426 | reward   708.31 | avg100   640.30 | eps 0.100 | q  204.29 |   21.4 steps/s | 155.8 min
ep  1030 | step   202926 | reward   710.53 | avg100   647.07 | eps 0.100 | q  206.38 |   21.3 steps/s | 158.5 min
ep  1040 | step   205281 | reward   513.86 | avg100   646.49 | eps 0.100 | q  219.26 |   21.2 steps/s | 161.2 min
ep  1050 | step   207781 | reward   822.81 | avg100   665.77 | eps 0.100 | q  216.62 |   21.1 steps/s | 164.0 min
ep  1060 | step   210272 | reward   694.12 | avg100   684.34 | eps 0.100 | q  218.34 |   21.0 steps/s | 166.7 min
ep  1070 | step   212772 | reward   757.68 | avg100   687.16 | eps 0.100 | q  224.67 |   20.9 steps/s | 169.5 min
ep  1080 | step   215209 | reward   664.31 | avg100   697.18 | eps 0.100 | q  242.07 |   20.8 steps/s | 172.3 min
ep  1090 | step   217628 | reward   451.85 | avg100   687.67 | eps 0.100 | q  225.10 |   20.7 steps/s | 175.0 min
