update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,lr
325,649350,0.01482,3.34276,-0.51835,0.032421,0.3917,0.7209,0.0006753
326,651348,0.03067,4.7625,-0.65315,0.046876,0.5185,0.5297,0.0006743
327,653346,0.0167,4.04051,-0.62798,0.04333,0.5071,0.5743,0.0006733
328,655344,0.0169,4.37273,-0.58224,0.046828,0.4779,0.5695,0.0006723
329,657342,0.02367,4.40387,-0.58343,0.047786,0.4424,0.6087,0.0006713
330,659340,0.01348,3.98343,-0.53105,0.036385,0.4139,0.653,0.0006703
331,661338,0.01444,4.57735,-0.56763,0.06777,0.4869,0.5225,0.0006693
332,663336,0.01414,3.05478,-0.45363,0.067687,0.4751,0.6264,0.0006683
333,665334,0.0119,2.85211,-0.41609,0.04042,0.4644,0.6367,0.0006673
334,667332,0.01689,2.69505,-0.45831,1.6615348956959417e+34,0.4801,0.629,0.0006663
335,669330,0.01501,3.02427,-0.43253,0.030174,0.4503,0.603,0.0006653
336,671328,0.01508,3.04866,-0.54102,0.04037,0.5265,0.5409,0.0006643
337,673326,0.01559,2.98358,-0.51505,0.044703,0.5178,0.5668,0.0006633
338,675324,0.01623,3.02772,-0.50357,3.655376770531072e+35,0.5262,0.5468,0.0006623
339,677322,0.0147,2.91176,-0.53883,0.047599,0.5311,0.6071,0.0006613
340,679320,0.01145,2.34553,-0.42985,0.033742,0.4379,0.6936,0.0006603
341,681318,0.01775,2.82723,-0.51633,0.061028,0.5477,0.5642,0.0006593
342,683316,0.02236,2.47193,-0.48859,0.051116,0.5593,0.607,0.0006583
343,685314,0.01787,2.56831,-0.39604,1.3292279165567534e+35,0.4672,0.6388,0.0006573
344,687312,0.0226,2.45356,-0.45826,2.931117969843097e+35,0.5341,0.5579,0.0006563
345,689310,0.01887,2.78337,-0.44202,0.043502,0.4887,0.6805,0.0006553
346,691308,0.01251,2.36615,-0.46542,0.043216,0.4784,0.6371,0.0006543
347,693306,0.01961,3.19679,-0.49897,0.040885,0.5038,0.5373,0.0006533
348,695304,0.01235,2.30441,-0.40715,0.038686,0.4067,0.7036,0.0006523
349,697302,0.01309,2.60936,-0.4531,0.031768,0.4066,0.6081,0.0006513
350,699300,0.02738,2.85662,-0.49019,0.042231,0.4813,0.6334,0.0006503
351,701298,0.01294,2.68812,-0.40351,0.035531,0.4216,0.6471,0.0006494
352,703296,0.01546,3.018,-0.51397,0.030761,0.4671,0.5472,0.0006484
353,705294,0.01769,3.32433,-0.556,0.038639,0.4413,0.6186,0.0006474
354,707292,0.0165,3.09096,-0.50408,0.052516,0.4426,0.6867,0.0006464
355,709290,0.01532,3.25266,-0.49869,0.036829,0.4376,0.6173,0.0006454
356,711288,0.01244,3.18402,-0.51591,0.032622,0.4482,0.6495,0.0006444
357,713286,0.01355,3.63332,-0.39138,0.038594,0.4271,0.6529,0.0006434
358,715284,0.01243,2.91114,-0.42467,0.03606,0.4464,0.6595,0.0006424
359,717282,0.01707,2.86615,-0.39333,0.038288,0.4556,0.6743,0.0006414
360,719280,0.01682,2.97781,-0.40152,0.050272,0.4636,0.6514,0.0006404
361,721278,0.01353,2.43192,-0.33745,4.984604687087825e+34,0.4041,0.702,0.0006394
362,723276,0.01083,2.40211,-0.33961,0.034637,0.3947,0.6871,0.0006384
363,725274,0.01489,1.94414,-0.32141,0.04467,0.435,0.6728,0.0006374
364,727272,0.00718,1.75749,-0.31695,0.024839,0.3954,0.6387,0.0006364
365,729270,0.00432,1.90119,-0.27599,0.025256,0.3877,0.6878,0.0006354
366,731268,0.00635,2.07251,-0.35059,0.034841,0.4496,0.6323,0.0006344
367,733266,0.00765,1.66454,-0.26982,0.019518,0.3951,0.7448,0.0006334
368,735264,0.01141,1.79602,-0.32217,0.037059,0.4148,0.5866,0.0006324
369,737262,0.01567,2.18064,-0.31118,0.036331,0.4296,0.5965,0.0006314
370,739260,0.01177,2.30978,-0.32403,0.027807,0.4203,0.5866,0.0006304
371,741258,0.02571,2.84255,-0.39784,0.060697,0.4624,0.5594,0.0006294
372,743256,0.01784,2.25883,-0.3568,0.040855,0.4391,0.6077,0.0006284
373,745254,0.0136,2.23421,-0.31425,0.032563,0.4445,0.5461,0.0006274
374,747252,0.01534,2.29152,-0.33614,0.036987,0.4717,0.6928,0.0006264
375,749250,0.01646,2.18857,-0.35508,0.043931,0.4682,0.6278,0.0006254
376,751248,0.0103,2.39293,-0.3037,1.4953814061263475e+35,0.4098,0.6248,0.0006244
377,753246,0.0064,2.20802,-0.24904,0.019175,0.3526,0.6318,0.0006234
378,755244,0.00709,1.9943,-0.25474,0.032143,0.4159,0.678,0.0006224
379,757242,0.0045,1.63493,-0.24502,0.027779,0.37,0.7556,0.0006214
380,759240,0.00847,2.34295,-0.34006,0.030802,0.3725,0.6865,0.0006204
381,761238,0.02015,2.513,-0.30898,0.028503,0.4048,0.64,0.0006194
382,763236,0.00327,2.32995,-0.27728,0.020932,0.3073,0.6339,0.0006184
383,765234,0.01538,2.88806,-0.34604,0.033186,0.3979,0.6846,0.0006174
384,767232,0.01281,2.57897,-0.35363,0.027143,0.3871,0.6983,0.0006164
385,769230,0.01454,2.45789,-0.31694,0.025809,0.3892,0.721,0.0006154
386,771228,0.02436,2.09565,-0.3411,0.052316,0.4561,0.7057,0.0006144
387,773226,0.02081,2.14972,-0.30553,0.035014,0.428,0.5541,0.0006134
388,775224,0.01385,1.77008,-0.31986,0.033278,0.441,0.6783,0.0006124
389,777222,0.01027,1.77018,-0.26699,0.017945,0.374,0.7329,0.0006114
390,779220,0.01288,1.68804,-0.32377,0.028387,0.4339,0.6654,0.0006104
391,781218,0.00866,1.62516,-0.26571,0.020044,0.3718,0.7134,0.0006094
392,783216,0.00959,1.74192,-0.266,0.019552,0.3714,0.7582,0.0006084
393,785214,0.01686,2.14156,-0.35654,0.029785,0.4457,0.686,0.0006074
394,787212,0.01774,2.0738,-0.28152,0.01977,0.3766,0.7564,0.0006064
395,789210,0.02007,2.1048,-0.35604,0.034034,0.4416,0.7441,0.0006054
396,791208,0.0207,1.87338,-0.33353,0.037702,0.4711,0.6694,0.0006044
397,793206,0.02667,2.48111,-0.45245,0.046278,0.5439,0.6784,0.0006034
398,795204,0.01351,2.10719,-0.37259,0.03487,0.4916,0.6093,0.0006024
399,797202,0.01145,1.81493,-0.33339,0.039738,0.4795,0.5913,0.0006014
400,799200,0.01699,1.62223,-0.36702,0.032717,0.4859,0.6896,0.0006004
401,801198,0.01469,1.78551,-0.33443,0.032908,0.465,0.7229,0.0005994
402,803196,0.02488,2.0505,-0.34368,0.032113,0.5106,0.6273,0.0005984
403,805194,0.01917,2.0182,-0.37298,0.027463,0.4859,0.7457,0.0005974
404,807192,0.01353,2.08101,-0.32705,0.024755,0.4526,0.6548,0.0005964
405,809190,0.01455,1.72796,-0.27393,0.034349,0.4409,0.7045,0.0005954
406,811188,0.00887,1.96443,-0.29386,0.032954,0.4203,0.715,0.0005944
407,813186,0.01697,2.37679,-0.36985,0.036783,0.517,0.6773,0.0005934
408,815184,0.00872,1.90823,-0.30793,0.026352,0.4904,0.7817,0.0005924
409,817182,0.01156,1.84242,-0.3106,0.034263,0.5178,0.6476,0.0005914
410,819180,0.01289,1.77526,-0.3436,0.031038,0.4999,0.6474,0.0005904
411,821178,0.01251,2.08419,-0.39683,0.042233,0.5642,0.6131,0.0005894
412,823176,0.01561,2.37395,-0.35415,0.041005,0.4975,0.514,0.0005884
413,825174,0.03212,2.9326,-0.42174,0.046015,0.5266,0.6047,0.0005874
414,827172,0.01521,2.96323,-0.30287,0.033205,0.4217,0.6585,0.0005864
415,829170,0.0236,2.87031,-0.41321,0.039172,0.4957,0.688,0.0005854
416,831168,0.02234,2.6832,-0.32179,0.043545,0.4996,0.6375,0.0005844
417,833166,0.02138,2.39914,-0.32563,0.051865,0.4902,0.6686,0.0005834
418,835164,0.03149,2.74002,-0.41058,0.050775,0.5975,0.6186,0.0005824
419,837162,0.02824,2.83631,-0.4048,0.057514,0.5977,0.6182,0.0005814
420,839160,0.02509,2.73503,-0.3715,0.105593,0.61,0.6483,0.0005804
421,841158,0.03889,2.37934,-0.35637,0.051187,0.6127,0.622,0.0005794
422,843156,0.02201,2.18353,-0.35838,0.05405,0.5762,0.715,0.0005784
423,845154,0.02488,2.26932,-0.38442,0.048792,0.5764,0.6841,0.0005774
424,847152,0.02681,2.48213,-0.42338,0.048254,0.6013,0.5747,0.0005764
425,849150,0.01968,2.08653,-0.391,0.03906,0.5746,0.673,0.0005754
426,851148,0.0235,2.03509,-0.32829,0.045262,0.5626,0.7262,0.0005744
427,853146,0.03109,2.75594,-0.36803,0.058782,0.5626,0.6016,0.0005734
428,855144,0.01555,2.08913,-0.29165,0.0345,0.5101,0.6996,0.0005724
429,857142,0.02534,2.34841,-0.33656,0.036562,0.5346,0.6802,0.0005714
430,859140,0.02072,2.87383,-0.36222,0.035345,0.5397,0.6649,0.0005704
431,861138,0.01678,2.68886,-0.33555,0.027014,0.5266,0.6916,0.0005694
432,863136,0.02258,2.74939,-0.38756,0.047544,0.5326,0.6978,0.0005684
433,865134,0.01692,2.51633,-0.3769,0.033623,0.4874,0.7394,0.0005674
434,867132,0.01824,3.22424,-0.41047,0.041113,0.5303,0.6317,0.0005664
435,869130,0.02315,2.60768,-0.37858,0.031624,0.4902,0.729,0.0005654
436,871128,0.01951,2.65452,-0.34973,0.030133,0.5166,0.6603,0.0005644
437,873126,0.01896,2.58342,-0.36227,0.029362,0.5044,0.6715,0.0005634
438,875124,0.0216,2.99486,-0.39776,0.049415,0.526,0.6773,0.0005624
439,877122,0.02782,3.21572,-0.43947,0.047162,0.535,0.6281,0.0005614
440,879120,0.02539,3.39374,-0.40369,1.6615348956959417e+34,0.4833,0.6912,0.0005604
441,881118,0.02215,3.93096,-0.5052,0.039019,0.5493,0.6164,0.0005594
442,883116,0.02039,3.27989,-0.44395,0.038645,0.4982,0.6742,0.0005584
443,885114,0.01959,3.42419,-0.43088,1.3292279165567534e+35,0.5281,0.6408,0.0005574
444,887112,0.02222,3.78021,-0.45035,0.032479,0.5243,0.6556,0.0005564
445,889110,0.03197,4.2941,-0.51024,0.046755,0.5355,0.6386,0.0005554
446,891108,0.02168,4.46373,-0.48323,0.036028,0.4755,0.6898,0.0005544
447,893106,0.01975,3.73839,-0.47526,0.037905,0.4904,0.6569,0.0005534
448,895104,0.01943,3.71659,-0.47638,0.040158,0.4884,0.6632,0.0005524
449,897102,0.03126,4.12065,-0.59326,4.984604687087825e+34,0.5266,0.5974,0.0005514
450,899100,0.03568,3.98659,-0.60128,0.049109,0.5929,0.555,0.0005504
451,901098,0.02012,3.30028,-0.40865,0.032036,0.4792,0.7678,0.0005495
452,903096,0.02855,3.75627,-0.5303,0.044219,0.5092,0.7103,0.0005485
453,905094,0.01842,3.21946,-0.51295,0.037443,0.5345,0.7377,0.0005475
454,907092,0.02181,4.06896,-0.52576,0.04577,0.5059,0.7192,0.0005465
455,909090,0.03056,4.63741,-0.44635,0.042518,0.4234,0.7084,0.0005455
456,911088,0.03616,4.15108,-0.55172,3.3230697913918834e+34,0.5586,0.6556,0.0005445
457,913086,0.01894,4.18252,-0.45002,0.038799,0.3953,0.7424,0.0005435
458,915084,0.03567,4.51228,-0.56216,0.056504,0.5459,0.629,0.0005425
459,917082,0.02299,3.72642,-0.57898,0.029923,0.5656,0.6312,0.0005415
460,919080,0.0281,4.41884,-0.6199,0.052503,0.517,0.6392,0.0005405
461,921078,0.0296,4.98487,-0.5815,0.056648,0.4714,0.6456,0.0005395
462,923076,0.02858,3.64665,-0.56643,0.050533,0.4983,0.7178,0.0005385
463,925074,0.03129,3.89325,-0.59929,0.043383,0.522,0.6058,0.0005375
464,927072,0.01882,4.28556,-0.64628,0.036382,0.5292,0.6324,0.0005365
465,929070,0.03038,3.79075,-0.58565,0.053813,0.5311,0.6262,0.0005355
466,931068,0.02174,4.1588,-0.52161,0.044453,0.4676,0.6953,0.0005345
467,933066,0.02373,3.95294,-0.5506,0.031853,0.4873,0.6163,0.0005335
468,935064,0.01881,4.01384,-0.46981,0.03874,0.4781,0.6193,0.0005325
469,937062,0.02374,3.75306,-0.47967,0.038033,0.4642,0.6299,0.0005315
470,939060,0.03374,3.44936,-0.53406,0.059629,0.5258,0.5767,0.0005305
471,941058,0.02042,2.7509,-0.34368,0.03536,0.3585,0.63,0.0005295
472,943056,0.01854,3.17125,-0.46224,0.033893,0.4621,0.5892,0.0005285
473,945054,0.02071,2.81696,-0.44796,0.047081,0.4581,0.5531,0.0005275
474,947052,0.02237,2.87493,-0.47442,0.0289,0.4221,0.6455,0.0005265
475,949050,0.01772,2.8931,-0.46367,0.026231,0.4385,0.6056,0.0005255
476,951048,0.01872,2.44694,-0.44275,0.021851,0.4161,0.7103,0.0005245
477,953046,0.02946,3.2714,-0.55719,0.051616,0.5422,0.6048,0.0005235
478,955044,0.01697,3.86194,-0.48431,0.035116,0.4551,0.6265,0.0005225
479,957042,0.02115,3.52884,-0.56288,0.028463,0.524,0.67,0.0005215
480,959040,0.02157,3.92152,-0.65154,0.036907,0.577,0.5936,0.0005205
481,961038,0.02172,3.80735,-0.60378,0.030393,0.5033,0.6924,0.0005195
482,963036,0.01452,4.07387,-0.55533,0.036919,0.479,0.6545,0.0005185
483,965034,0.02121,3.61988,-0.55582,0.042741,0.5393,0.7004,0.0005175
484,967032,0.03048,3.59183,-0.57616,0.041748,0.548,0.6183,0.0005165
485,969030,0.01399,3.38746,-0.53241,0.041139,0.489,0.7249,0.0005155
486,971028,0.02528,3.32063,-0.62623,0.037396,0.56,0.6668,0.0005145
487,973026,0.02856,3.10026,-0.61003,0.051864,0.5242,0.6863,0.0005135
488,975024,0.01713,3.33618,-0.59727,0.026248,0.5063,0.6921,0.0005125
489,977022,0.01538,3.51896,-0.58905,0.031742,0.5023,0.6173,0.0005115
490,979020,0.02478,3.26823,-0.63991,1.6615348956959417e+34,0.5587,0.6444,0.0005105
491,981018,0.02469,3.61151,-0.61241,0.035782,0.5419,0.5409,0.0005095
492,983016,0.01368,3.36452,-0.53821,0.033556,0.4398,0.6755,0.0005085
493,985014,0.02874,3.56786,-0.58845,0.034643,0.4847,0.5567,0.0005075
494,987012,0.02041,3.94034,-0.58582,9.96920937417565e+34,0.4356,0.5956,0.0005065
495,989010,0.01443,3.79953,-0.58978,0.022939,0.4242,0.6613,0.0005055
496,991008,0.02153,4.07547,-0.58372,0.032795,0.412,0.6041,0.0005045
497,993006,0.02944,4.26476,-0.58692,0.052295,0.5032,0.5147,0.0005035
498,995004,0.02236,4.10002,-0.58628,0.03045,0.4497,0.6583,0.0005025
499,997002,0.01471,3.89238,-0.55735,0.018911,0.4187,0.6384,0.0005015
500,999000,0.01842,4.19033,-0.61572,0.04012,0.4671,0.5994,0.0005005
501,1000998,0.02218,4.66859,-0.59102,0.035618,0.4628,0.6403,0.0004995
502,1002996,0.01836,4.38684,-0.60699,1.6615348956959417e+34,0.437,0.658,0.0004985
503,1004994,0.01645,4.66465,-0.54296,0.029381,0.3925,0.6662,0.0004975
504,1006992,0.01927,4.42131,-0.63792,0.05634,0.4445,0.6752,0.0004965
505,1008990,0.01621,3.77229,-0.48545,0.029381,0.3743,0.6922,0.0004955
506,1010988,0.01452,4.66211,-0.60481,0.026224,0.4421,0.6718,0.0004945
507,1012986,0.01239,5.11034,-0.57872,0.02172,0.3803,0.6952,0.0004935
508,1014984,0.01971,6.10229,-0.65772,0.03653,0.52,0.6168,0.0004925
509,1016982,0.03215,5.41137,-0.8097,0.04025,0.5648,0.4186,0.0004915
510,1018980,0.02221,4.99184,-0.74708,0.037836,0.4994,0.6381,0.0004905
511,1020978,0.02256,6.04288,-0.72342,3.3230697913918834e+34,0.5266,0.6475,0.0004895
512,1022976,0.01837,5.19007,-0.6366,0.026147,0.4384,0.6939,0.0004885
513,1024974,0.01699,6.04241,-0.72953,1.4953814061263475e+35,0.4534,0.6367,0.0004875
514,1026972,0.01788,6.32483,-0.65487,0.035671,0.4374,0.6746,0.0004865
515,1028970,0.02082,5.16018,-0.6441,1.6615348956959417e+34,0.476,0.6939,0.0004855
516,1030968,0.00973,5.37147,-0.64885,0.017082,0.412,0.6782,0.0004845
517,1032966,0.01716,5.97799,-0.68298,0.02904,0.4474,0.6945,0.0004835
518,1034964,0.01587,6.29691,-0.67799,1.6615348956959417e+34,0.4094,0.6758,0.0004825
519,1036962,0.01916,6.6307,-0.82288,0.033618,0.472,0.6286,0.0004815
520,1038960,0.01728,6.64492,-0.69491,0.027821,0.4056,0.67,0.0004805
521,1040958,0.02621,7.48425,-0.94576,0.02946,0.537,0.3657,0.0004795
522,1042956,0.01761,6.41052,-0.8288,0.023967,0.4602,0.6217,0.0004785
523,1044954,0.02035,6.09226,-0.80348,2.7266213672959043e+34,0.5173,0.6488,0.0004775
524,1046952,0.02295,7.48212,-0.90988,1.3292279165567534e+35,0.5028,0.5905,0.0004765
525,1048950,0.02463,7.13177,-0.78039,0.033441,0.4907,0.6598,0.0004755
526,1050948,0.0199,6.71689,-0.77371,0.039849,0.4514,0.6687,0.0004745
527,1052946,0.01717,6.95496,-0.66458,3.0972714594126913e+35,0.3928,0.6912,0.0004735
528,1054944,0.03572,6.794,-0.71521,0.042606,0.5103,0.6132,0.0004725
529,1056942,0.0183,6.25274,-0.71403,0.028224,0.4079,0.7329,0.0004715
530,1058940,0.02501,6.06709,-0.69624,0.028299,0.4607,0.6676,0.0004705
531,1060938,0.02279,5.63428,-0.63834,0.03346,0.4524,0.6737,0.0004695
532,1062936,0.03305,5.40642,-0.69608,4.984604687087825e+34,0.4907,0.5867,0.0004685
533,1064934,0.02208,5.26909,-0.68783,0.041207,0.461,0.656,0.0004675
534,1066932,0.02651,5.9558,-0.81608,0.040114,0.5395,0.5916,0.0004665
535,1068930,0.03044,5.10434,-0.61369,0.028331,0.4472,0.6956,0.0004655
536,1070928,0.02054,6.37241,-0.75764,0.027329,0.5366,0.6281,0.0004645
537,1072926,0.02084,6.98569,-0.67776,1.6615348956959417e+34,0.5073,0.6541,0.0004635
538,1074924,0.02855,6.3755,-0.79579,0.042772,0.5605,0.6335,0.0004625
539,1076922,0.01903,5.42437,-0.74638,0.025348,0.5446,0.6864,0.0004615
540,1078920,0.02577,6.71059,-0.7731,1.6615348956959417e+34,0.5377,0.6466,0.0004605
541,1080918,0.02522,6.2473,-0.77212,0.036321,0.5446,0.577,0.0004595
542,1082916,0.0155,6.11546,-0.73531,0.028645,0.5022,0.7294,0.0004585
543,1084914,0.02802,6.15223,-0.79781,1.1630744269871592e+35,0.555,0.6053,0.0004575
544,1086912,0.01643,6.31004,-0.84883,0.02696,0.5272,0.6351,0.0004565
545,1088910,0.01982,6.25308,-0.72268,0.02851,0.4867,0.7371,0.0004555
546,1090908,0.02638,5.87528,-0.6389,0.03644,0.5201,0.7012,0.0004545
547,1092906,0.02472,5.19284,-0.589,0.047697,0.5157,0.6739,0.0004535
548,1094904,0.0211,6.64762,-0.58227,0.031066,0.426,0.6419,0.0004525
549,1096902,0.01846,5.59804,-0.59945,1.4357365637167496e+35,0.4553,0.7193,0.0004515
550,1098900,0.03553,5.83253,-0.63345,0.054706,0.4741,0.6746,0.0004506
551,1100898,0.02849,4.8556,-0.65569,0.059909,0.4883,0.6937,0.0004496
552,1102896,0.03349,5.2515,-0.76398,0.05443,0.5417,0.6094,0.0004486
553,1104894,0.01742,5.90841,-0.54968,0.022757,0.4533,0.7208,0.0004476
554,1106892,0.02392,4.79237,-0.61579,0.030232,0.4668,0.758,0.0004466
555,1108890,0.02636,5.07994,-0.68048,0.030573,0.5233,0.6496,0.0004456
556,1110888,0.02179,4.58436,-0.64812,0.029405,0.5203,0.7166,0.0004446
557,1112886,0.01941,4.72261,-0.5564,0.021558,0.437,0.7439,0.0004436
558,1114884,0.03519,3.91558,-0.56188,0.064156,0.602,0.619,0.0004426
559,1116882,0.02014,4.99556,-0.49344,1.1034295845775613e+35,0.4351,0.6338,0.0004416
560,1118880,0.02087,4.19735,-0.55342,0.025677,0.4625,0.5802,0.0004406
561,1120878,0.03368,4.23272,-0.62988,0.045229,0.5466,0.6329,0.0004396
562,1122876,0.02134,4.55075,-0.57814,0.035065,0.4424,0.7497,0.0004386
563,1124874,0.02892,4.94521,-0.62352,0.051073,0.4575,0.6462,0.0004376
564,1126872,0.02912,5.06239,-0.68444,1.6615348956959417e+34,0.478,0.6797,0.0004366
565,1128870,0.02961,4.85338,-0.81163,0.043813,0.5228,0.5848,0.0004356
566,1130868,0.02091,4.61313,-0.73054,0.021444,0.4788,0.6657,0.0004346
567,1132866,0.02787,5.70899,-0.79599,0.039902,0.572,0.5665,0.0004336
568,1134864,0.01848,4.91807,-0.71115,0.023373,0.4591,0.7279,0.0004326
569,1136862,0.02483,5.30083,-0.69437,0.025228,0.4568,0.7533,0.0004316
570,1138860,0.02169,6.29804,-0.67075,0.026154,0.437,0.7307,0.0004306
571,1140858,0.01964,6.50542,-0.57373,0.029652,0.437,0.6931,0.0004296
572,1142856,0.02483,6.31507,-0.62933,0.039091,0.4398,0.6659,0.0004286
573,1144854,0.01709,5.87763,-0.60655,0.027172,0.3803,0.7115,0.0004276
574,1146852,0.02254,5.3895,-0.58839,1.2695830741471555e+35,0.3533,0.7152,0.0004266
575,1148850,0.01745,6.17126,-0.54798,0.02591,0.3825,0.6731,0.0004256
576,1150848,0.01931,5.31798,-0.5241,3.3230697913918834e+34,0.3409,0.6819,0.0004246
577,1152846,0.03965,6.54059,-0.66,6.646139582783767e+34,0.4598,0.5361,0.0004236
578,1154844,0.02764,5.3473,-0.55527,1.6615348956959417e+34,0.385,0.6801,0.0004226
579,1156842,0.02739,5.42821,-0.57293,0.051974,0.4326,0.6503,0.0004216
580,1158840,0.0211,5.44892,-0.49638,0.027853,0.3636,0.6844,0.0004206
581,1160838,0.01643,5.31996,-0.57509,0.020311,0.34,0.7041,0.0004196
582,1162836,0.0234,5.3546,-0.6195,1.6615348956959417e+34,0.3936,0.6693,0.0004186
583,1164834,0.01996,5.12978,-0.5782,0.016522,0.3596,0.7058,0.0004176
584,1166832,0.01535,4.69505,-0.49894,0.025434,0.3118,0.743,0.0004166
585,1168830,0.00928,4.12079,-0.43713,0.018408,0.2611,0.6977,0.0004156
586,1170828,0.01527,5.86483,-0.50868,0.018643,0.32,0.5864,0.0004146
587,1172826,0.02048,5.01067,-0.452,0.019435,0.3137,0.641,0.0004136
588,1174824,0.01387,5.03905,-0.46844,0.017388,0.307,0.6544,0.0004126
589,1176822,0.01911,4.25105,-0.50289,1.6615348956959417e+34,0.362,0.6815,0.0004116
590,1178820,0.01583,4.9289,-0.44337,0.011978,0.3217,0.6817,0.0004106
591,1180818,0.01912,4.10873,-0.45723,0.019149,0.3357,0.6684,0.0004096
592,1182816,0.01167,3.99055,-0.40183,0.019385,0.2881,0.6862,0.0004086
593,1184814,0.01338,3.26038,-0.37537,0.012928,0.2487,0.7592,0.0004076
594,1186812,0.01021,3.55805,-0.39865,0.025155,0.2939,0.6932,0.0004066
595,1188810,0.01761,3.53406,-0.4429,0.017009,0.3242,0.6128,0.0004056
596,1190808,0.01401,3.48421,-0.40321,0.02376,0.3183,0.5996,0.0004046
597,1192806,0.01903,4.02105,-0.46939,8.3076744784797085e+34,0.4164,0.5457,0.0004036
598,1194804,0.01549,3.77538,-0.43633,0.016555,0.3118,0.6107,0.0004026
599,1196802,0.0168,4.04024,-0.51455,0.025567,0.4143,0.5831,0.0004016
600,1198800,0.01283,3.97806,-0.46503,0.02522,0.4127,0.6064,0.0004006
601,1200798,0.0182,3.6668,-0.40003,8.3076744784797085e+34,0.3372,0.622,0.0003996
602,1202796,0.02031,3.85998,-0.47745,0.034461,0.3455,0.6464,0.0003986
603,1204794,0.01709,3.80893,-0.40837,8.3076744784797085e+34,0.3153,0.6283,0.0003976
604,1206792,0.01115,3.62334,-0.48593,0.017122,0.3698,0.6884,0.0003966
605,1208790,0.0175,3.08353,-0.4373,0.018433,0.3625,0.7052,0.0003956
606,1210788,0.02452,4.1373,-0.53161,0.030283,0.4174,0.6512,0.0003946
607,1212786,0.03064,5.32282,-0.71706,1.1630744269871592e+35,0.5163,0.6446,0.0003936
608,1214784,0.01475,4.21758,-0.64479,0.024561,0.4515,0.7365,0.0003926
609,1216782,0.01913,5.28203,-0.64934,0.019709,0.4622,0.7134,0.0003916
610,1218780,0.02087,5.24757,-0.69419,0.025506,0.4773,0.7274,0.0003906
611,1220778,0.02579,5.49847,-0.71916,1.4953814061263475e+35,0.5065,0.7096,0.0003896
612,1222776,0.02554,4.84753,-0.66389,0.034739,0.471,0.7416,0.0003886
613,1224774,0.01765,5.80301,-0.68327,0.01926,0.4359,0.7575,0.0003876
614,1226772,0.01961,5.60074,-0.69004,0.025538,0.4633,0.7162,0.0003866
615,1228770,0.02383,6.32749,-0.73343,0.035824,0.5164,0.6498,0.0003856
616,1230768,0.04711,4.79563,-0.63997,0.06477,0.5016,0.6815,0.0003846
617,1232766,0.02745,5.5267,-0.62853,4.984604687087825e+34,0.4485,0.6987,0.0003836
618,1234764,0.0256,5.48059,-0.70371,0.035451,0.474,0.677,0.0003826
619,1236762,0.02857,4.89137,-0.67754,0.036798,0.4263,0.7322,0.0003816
620,1238760,0.02626,4.40499,-0.64742,3.3230697913918834e+34,0.5208,0.7232,0.0003806
621,1240758,0.0334,5.90262,-0.65517,0.050222,0.4807,0.6943,0.0003796
622,1242756,0.02454,4.97817,-0.73254,0.035302,0.5426,0.6823,0.0003786
623,1244754,0.01861,5.50697,-0.63539,0.033292,0.4958,0.6863,0.0003776
624,1246752,0.02448,4.26136,-0.62051,0.030142,0.4379,0.778,0.0003766
625,1248750,0.02358,4.74565,-0.73452,0.029077,0.5042,0.6844,0.0003756
626,1250748,0.04336,4.67351,-0.73398,9.96920937417565e+34,0.5057,0.6927,0.0003746
627,1252746,0.02443,5.03232,-0.67354,0.022826,0.4594,0.7404,0.0003736
628,1254744,0.01994,4.4429,-0.61736,0.036308,0.4535,0.769,0.0003726
629,1256742,0.02588,4.7336,-0.67694,0.026723,0.4915,0.6983,0.0003716
630,1258740,0.02448,4.44561,-0.62743,0.03216,0.5025,0.7203,0.0003706
631,1260738,0.01654,4.8588,-0.61658,0.02142,0.4459,0.7204,0.0003696
632,1262736,0.02088,4.56865,-0.63034,4.984604687087825e+34,0.4388,0.76,0.0003686
633,1264734,0.02189,5.58326,-0.65955,1.934197032425532e+35,0.4739,0.6773,0.0003676
634,1266732,0.03306,4.37493,-0.74343,9.96920937417565e+34,0.5123,0.6818,0.0003666
635,1268730,0.02089,5.01155,-0.62463,1.6615348956959417e+34,0.4197,0.7405,0.0003656
636,1270728,0.02078,5.99079,-0.81748,0.028249,0.5195,0.6901,0.0003646
637,1272726,0.0192,6.15773,-0.68558,0.019986,0.409,0.7182,0.0003636
638,1274724,0.03236,5.88503,-0.7104,0.022685,0.4631,0.6414,0.0003626
639,1276722,0.02409,6.29806,-0.82836,0.018909,0.4909,0.6203,0.0003616
640,1278720,0.02277,7.06953,-0.80718,0.022795,0.514,0.5929,0.0003606
641,1280718,0.01902,6.74067,-0.81584,0.017946,0.511,0.6957,0.0003596
642,1282716,0.02609,6.69884,-0.67667,6.049691158687788e+34,0.4588,0.7066,0.0003586
643,1284714,0.02757,6.49395,-0.82345,0.028321,0.535,0.6093,0.0003576
644,1286712,0.02083,7.35296,-0.73282,0.021219,0.4433,0.703,0.0003566
645,1288710,0.02379,8.18587,-0.84912,0.024705,0.4955,0.679,0.0003556
646,1290708,0.01745,8.00958,-0.76144,0.017241,0.4202,0.7385,0.0003546
647,1292706,0.02851,9.3521,-0.86993,0.03671,0.5081,0.5756,0.0003536
