update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,lr
76,151848,0.00757,4.18805,-0.60858,0.03976,0.4936,0.6685,0.0009241
77,153846,0.00948,4.25659,-0.59184,0.043748,0.518,0.6915,0.0009231
78,155844,0.00684,3.8151,-0.70172,0.049255,0.597,0.6663,0.0009221
79,157842,-0.00207,4.10266,-0.66368,0.040596,0.5834,0.6586,0.0009211
80,159840,-0.00438,4.24659,-0.6139,0.033778,0.4869,0.7293,0.0009201
81,161838,0.00444,4.3393,-0.57016,0.03886,0.5327,0.7293,0.0009191
82,163836,0.0053,4.65118,-0.6028,0.040213,0.5158,0.6522,0.0009181
83,165834,0.00045,4.045,-0.46672,0.036673,0.4918,0.7088,0.0009171
84,167832,0.00263,3.27526,-0.54653,0.044307,0.5323,0.683,0.0009161
85,169830,0.00036,3.38471,-0.52541,0.049759,0.5669,0.6979,0.0009151
86,171828,0.00333,2.89181,-0.60372,0.046505,0.5513,0.7198,0.0009141
87,173826,-0.00329,3.42013,-0.58506,0.03465,0.5097,0.7569,0.0009131
88,175824,0.00889,3.98459,-0.63052,8.3076744784797085e+34,0.5513,0.6673,0.0009121
89,177822,0.00226,2.92647,-0.57216,0.039954,0.5367,0.7358,0.0009111
90,179820,0.00156,3.81506,-0.56898,0.039514,0.5566,0.7109,0.0009101
91,181818,-0.00727,3.00177,-0.53005,0.036172,0.5348,0.7179,0.0009091
92,183816,0.00068,2.70148,-0.55031,0.044835,0.5256,0.7465,0.0009081
93,185814,0.00262,3.66566,-0.69184,0.046965,0.6402,0.5505,0.0009071
94,187812,0.00136,2.89886,-0.5337,0.038428,0.5911,0.6926,0.0009061
95,189810,-0.00012,2.8676,-0.47174,0.038558,0.5477,0.7022,0.0009051
96,191808,-0.00437,2.26747,-0.55621,0.040175,0.5844,0.7199,0.0009041
97,193806,-0.00095,2.72512,-0.53133,0.035043,0.5824,0.7127,0.0009031
98,195804,-0.01085,2.46655,-0.44571,0.034486,0.5249,0.7904,0.0009021
99,197802,-0.003,2.425,-0.56812,0.043259,0.5624,0.7039,0.0009011
100,199800,-0.00373,2.06061,-0.69323,0.044574,0.6108,0.6175,0.0009001
101,201798,-0.00127,3.11717,-0.69808,0.049744,0.5953,0.6978,0.0008991
102,203796,0.00445,2.49033,-0.58249,0.034068,0.5474,0.7549,0.0008981
103,205794,-0.00014,2.68049,-0.7025,0.047487,0.6157,0.6075,0.0008971
104,207792,-0.00126,2.33966,-0.62508,0.030905,0.5607,0.7285,0.0008961
105,209790,-0.00016,3.85806,-0.65811,0.043084,0.5742,0.6497,0.0008951
106,211788,0.00123,3.89475,-0.60429,0.035423,0.5069,0.6801,0.0008941
107,213786,0.00051,3.7541,-0.67307,0.03563,0.5565,0.6537,0.0008931
108,215784,0.00135,3.03008,-0.60473,0.032686,0.5397,0.7637,0.0008921
109,217782,-0.00107,3.50155,-0.5613,0.036678,0.5087,0.7263,0.0008911
110,219780,0.00083,3.221,-0.63654,0.037365,0.5508,0.6623,0.0008901
111,221778,0.00501,3.56223,-0.57076,0.032526,0.4825,0.7104,0.0008891
112,223776,0.00395,3.61954,-0.71806,0.045406,0.5622,0.6288,0.0008881
113,225774,0.00051,4.34017,-0.73091,0.036512,0.5353,0.6848,0.0008871
114,227772,0.00157,3.90149,-0.70977,0.036601,0.5604,0.7604,0.0008861
115,229770,0.00692,4.13842,-0.65229,0.042948,0.5233,0.6892,0.0008851
116,231768,0.00277,4.79454,-0.68976,0.043372,0.5552,0.6983,0.0008841
117,233766,0.00311,4.62931,-0.63274,0.031805,0.5051,0.6914,0.0008831
118,235764,0.00092,3.56411,-0.6381,0.041282,0.4975,0.7461,0.0008821
119,237762,0.00639,3.94905,-0.71253,0.046674,0.5719,0.6314,0.0008811
120,239760,0.00317,4.09398,-0.6247,0.041311,0.5277,0.7,0.0008801
