episode,step,reward,length,running_avg
189,19698,-24.25,100,-8.66
190,19716,-4.53,114,-8.56
191,19752,4.6,125,-8.31
192,19788,-1.52,103,-8.2
193,20202,-15.28,100,-8.26
194,20214,-10.09,101,-8.26
195,20298,-17.5,100,-8.26
196,20316,-26.81,100,-8.53
197,20352,-12.43,100,-8.42
198,20394,-9.37,101,-8.43
199,20814,-14.21,100,-8.43
200,20820,-2.26,103,-8.38
201,20940,-6.02,104,-8.41
202,20952,-11.89,100,-8.4
203,21000,-8.47,101,-8.45
204,21048,1.56,125,-8.35
205,21420,-8.43,101,-8.33
206,21444,-5.46,104,-8.3
207,21540,-12.93,100,-8.4
208,21558,-9.83,101,-8.42
209,21606,-5.71,101,-8.35
210,21648,-15.59,100,-8.17
211,22044,-15.19,100,-8.21
212,22074,-5.29,109,-8.23
213,22164,-6.04,104,-8.18
214,22164,-4.39,101,-8.14
215,22254,-7.81,101,-8.06
216,22356,5.45,125,-7.95
217,22650,-7.71,101,-7.91
218,22680,-10.76,101,-7.91
219,22764,-11.74,100,-7.8
220,22800,-0.51,106,-7.76
221,22872,-3.55,103,-7.7
222,22956,-13.93,100,-7.81
223,23256,-10.17,101,-7.86
224,23352,-0.1,112,-7.8
225,23400,-15.28,100,-7.85
226,23406,-2.27,107,-7.77
227,23526,-4.47,109,-7.74
228,23556,-13.33,100,-7.71
229,23856,-13.55,100,-7.81
230,23952,-15.06,100,-7.87
231,24006,-6.6,101,-7.77
232,24006,-17.5,100,-8.0
233,24132,-3.88,101,-7.99
234,24156,-17.91,100,-8.15
235,24462,-10.09,101,-8.19
236,24552,-12.52,100,-8.21
237,24612,-6.97,101,-8.37
238,24624,-1.94,103,-8.35
239,24798,-0.66,107,-8.28
240,24882,5.69,125,-7.95
241,25068,-4.68,101,-7.97
242,25158,-6.73,101,-7.97
243,25218,-8.9,101,-8.06
244,25236,-4.16,102,-8.08
245,25440,-2.57,107,-8.02
246,25488,-5.2,101,-8.03
247,25668,-13.12,100,-8.11
248,25758,-15.69,100,-8.21
249,25836,-11.6,100,-8.24
250,25860,-4.79,107,-8.16
251,26040,-10.82,100,-8.11
252,26100,-3.9,102,-8.04
253,26274,-4.64,101,-8.02
254,26394,-2.61,106,-7.98
255,26436,-13.33,100,-7.93
256,26562,-5.26,117,-7.93
257,26640,-23.66,100,-8.11
258,26736,-3.81,106,-8.11
259,26964,-2.03,115,-8.09
260,27012,-4.62,103,-8.05
261,27054,-1.94,103,-8.02
262,27162,-13.11,100,-7.89
263,27246,-7.95,101,-7.94
264,27342,-6.22,101,-7.89
265,27564,-10.46,100,-7.93
266,27618,-8.88,101,-7.95
267,27678,-2.78,104,-7.88
268,27780,-4.48,103,-7.77
269,27846,-13.33,100,-7.82
270,27942,-34.25,100,-8.12
271,28164,-19.02,100,-8.38
272,28278,-12.1,100,-8.46
273,28320,3.05,117,-8.34
274,28452,-6.07,101,-8.39
275,28470,-0.0,115,-8.33
276,28542,-29.15,100,-8.58
277,28830,-5.73,111,-8.55
278,28878,-11.34,100,-8.58
279,28920,-11.03,100,-8.45
280,29076,-4.16,101,-8.45
281,29124,0.68,112,-8.4
282,29142,-39.68,100,-8.65
283,29442,-1.18,102,-8.63
284,29508,-6.54,105,-8.63
285,29610,5.56,115,-8.55
286,29730,-10.74,101,-8.56
287,29784,3.16,118,-8.45
288,29808,-3.48,111,-8.48
289,30090,-4.49,108,-8.28
290,30108,-12.48,100,-8.36
291,30270,-1.53,110,-8.42
292,30336,-4.39,101,-8.45
293,30390,-4.61,101,-8.34
294,30408,-20.3,100,-8.45
295,30696,-9.13,101,-8.36
296,30714,-5.8,101,-8.15
297,30942,-10.51,101,-8.13
298,30942,-1.16,112,-8.05
299,31140,-1.9,125,-7.93
300,31158,16.54,125,-7.74
301,31302,-5.39,101,-7.73
302,31314,-12.08,100,-7.73
303,31548,-10.03,101,-7.75
304,31548,-8.43,101,-7.85
305,31746,-5.71,101,-7.82
306,31758,-17.27,100,-7.94
307,31902,-24.25,100,-8.05
308,32058,-3.05,124,-7.99
309,32154,-5.46,101,-7.98
310,32190,-2.01,107,-7.85
311,32346,-16.56,100,-7.86
312,32376,-3.9,103,-7.85
313,32508,-6.27,101,-7.85
