device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep  2860 | step   332340 | reward    51.32 | avg100   102.61 |  101.7 steps/s | 54.5 min
ep  2870 | step   333624 | reward    13.13 | avg100   101.97 |  101.7 steps/s | 54.7 min
ep  2880 | step   334782 | reward     1.63 | avg100   101.61 |  101.7 steps/s | 54.9 min
ep  2890 | step   336024 | reward   136.84 | avg100    96.78 |  101.7 steps/s | 55.1 min
ep  2900 | step   337080 | reward   -12.14 | avg100    93.33 |  101.7 steps/s | 55.2 min
ep  2910 | step   338340 | reward    19.76 | avg100    83.78 |  101.7 steps/s | 55.4 min
ep  2920 | step   339558 | reward   -15.26 | avg100    77.35 |  101.7 steps/s | 55.6 min
ep  2930 | step   340548 | reward   118.12 | avg100    76.44 |  101.7 steps/s | 55.8 min
ep  2940 | step   341808 | reward   177.37 | avg100    71.85 |  101.7 steps/s | 56.0 min
ep  2950 | step   343296 | reward   133.90 | avg100    70.85 |  101.7 steps/s | 56.2 min
ep  2960 | step   344148 | reward   103.28 | avg100    69.92 |  101.7 steps/s | 56.4 min
ep  2970 | step   345558 | reward    45.83 | avg100    66.64 |  101.7 steps/s | 56.6 min
ep  2980 | step   346752 | reward   111.07 | avg100    63.14 |  101.7 steps/s | 56.8 min
ep  2990 | step   347808 | reward   200.72 | avg100    65.96 |  101.7 steps/s | 57.0 min
ep  3000 | step   349140 | reward   119.93 | avg100    67.87 |  101.7 steps/s | 57.2 min
ep  3010 | step   350352 | reward    70.45 | avg100    67.41 |  101.7 steps/s | 57.4 min
ep  3020 | step   351354 | reward   106.90 | avg100    70.48 |  101.7 steps/s | 57.6 min
ep  3030 | step   352818 | reward   148.28 | avg100    68.69 |  101.7 steps/s | 57.8 min
ep  3040 | step   353832 | reward    40.98 | avg100    69.60 |  101.7 steps/s | 58.0 min
ep  3050 | step   355068 | reward    60.28 | avg100    65.65 |  101.7 steps/s | 58.2 min
ep  3060 | step   356190 | reward    41.60 | avg100    60.56 |  101.7 steps/s | 58.4 min
ep  3070 | step   357420 | reward    29.15 | avg100    63.94 |  101.7 steps/s | 58.5 min
ep  3080 | step   358668 | reward   -19.72 | avg100    61.65 |  101.7 steps/s | 58.8 min
ep  3090 | step   359814 | reward   -67.22 | avg100    56.74 |  101.7 steps/s | 59.0 min
ep  3100 | step   360888 | reward   138.71 | avg100    54.98 |  101.7 steps/s | 59.1 min
ep  3110 | step   362160 | reward    98.17 | avg100    60.90 |  101.7 steps/s | 59.3 min
ep  3120 | step   363402 | reward   141.51 | avg100    58.70 |  101.8 steps/s | 59.5 min
ep  3130 | step   364620 | reward    80.27 | avg100    61.88 |  101.7 steps/s | 59.7 min
ep  3140 | step   365610 | reward   116.98 | avg100    59.77 |  101.8 steps/s | 59.9 min
ep  3150 | step   366960 | reward     1.75 | avg100    58.90 |  101.7 steps/s | 60.1 min
ep  3160 | step   368004 | reward   126.67 | avg100    60.56 |  101.7 steps/s | 60.3 min
ep  3170 | step   369342 | reward    48.44 | avg100    58.89 |  101.7 steps/s | 60.5 min
ep  3180 | step   370374 | reward    23.71 | avg100    63.76 |  101.7 steps/s | 60.7 min
ep  3190 | step   371616 | reward    79.66 | avg100    69.27 |  101.8 steps/s | 60.9 min
ep  3200 | step   373074 | reward   159.26 | avg100    71.35 |  101.7 steps/s | 61.1 min
ep  3210 | step   373986 | reward   -17.70 | avg100    68.80 |  101.7 steps/s | 61.3 min
ep  3220 | step   375342 | reward   132.08 | avg100    73.03 |  101.7 steps/s | 61.5 min
ep  3230 | step   376524 | reward   156.76 | avg100    70.17 |  101.7 steps/s | 61.7 min
ep  3240 | step   377538 | reward   143.48 | avg100    71.17 |  101.7 steps/s | 61.8 min
ep  3250 | step   378810 | reward    64.98 | avg100    68.34 |  101.7 steps/s | 62.1 min
ep  3260 | step   380106 | reward    47.60 | avg100    71.16 |  101.7 steps/s | 62.3 min
ep  3270 | step   381144 | reward    11.41 | avg100    71.50 |  101.7 steps/s | 62.4 min
ep  3280 | step   382356 | reward    69.32 | avg100    71.56 |  101.7 steps/s | 62.7 min
ep  3290 | step   383760 | reward    19.11 | avg100    71.72 |  101.7 steps/s | 62.9 min
ep  3300 | step   384606 | reward    85.05 | avg100    70.94 |  101.7 steps/s | 63.0 min
ep  3310 | step   386010 | reward    23.33 | avg100    71.63 |  101.7 steps/s | 63.3 min
ep  3320 | step   387282 | reward   -16.75 | avg100    63.92 |  101.7 steps/s | 63.4 min
ep  3330 | step   388260 | reward   111.11 | avg100    62.73 |  101.7 steps/s | 63.6 min
ep  3340 | step   389502 | reward    -0.77 | avg100    61.12 |  101.7 steps/s | 63.8 min
ep  3350 | step   390732 | reward   160.22 | avg100    67.27 |  101.7 steps/s | 64.0 min
ep  3360 | step   391752 | reward   -43.46 | avg100    63.91 |  101.7 steps/s | 64.2 min
ep  3370 | step   392988 | reward    -7.45 | avg100    59.69 |  101.7 steps/s | 64.4 min
ep  3380 | step   394278 | reward   107.43 | avg100    57.58 |  101.7 steps/s | 64.6 min
ep  3390 | step   395328 | reward    78.44 | avg100    55.10 |  101.7 steps/s | 64.8 min
ep  3400 | step   396498 | reward   127.89 | avg100    49.88 |  101.7 steps/s | 65.0 min
ep  3410 | step   397710 | reward    79.40 | avg100    46.12 |  101.7 steps/s | 65.2 min
ep  3420 | step   398832 | reward    33.72 | avg100    48.78 |  101.7 steps/s | 65.3 min
ep  3430 | step   399996 | reward    42.86 | avg100    47.42 |  101.7 steps/s | 65.6 min
ep  3440 | step   401208 | reward   -10.93 | avg100    47.53 |  101.7 steps/s | 65.7 min
ep  3450 | step   402408 | reward     1.75 | avg100    45.27 |  101.7 steps/s | 65.9 min
ep  3460 | step   403602 | reward   119.08 | avg100    47.65 |  101.7 steps/s | 66.1 min
ep  3470 | step   404700 | reward   -31.14 | avg100    48.31 |  101.7 steps/s | 66.3 min
ep  3480 | step   405882 | reward   -35.27 | avg100    49.12 |  101.7 steps/s | 66.5 min
ep  3490 | step   407088 | reward    15.80 | avg100    48.26 |  101.7 steps/s | 66.7 min
ep  3500 | step   408258 | reward   163.33 | avg100    52.00 |  101.7 steps/s | 66.9 min
ep  3510 | step   409488 | reward    75.26 | avg100    54.68 |  101.7 steps/s | 67.1 min
ep  3520 | step   410688 | reward    37.93 | avg100    56.68 |  101.7 steps/s | 67.3 min
ep  3530 | step   411834 | reward    74.83 | avg100    55.51 |  101.7 steps/s | 67.5 min
ep  3540 | step   412854 | reward   -56.44 | avg100    52.73 |  101.7 steps/s | 67.6 min
ep  3550 | step   414150 | reward   -32.76 | avg100    56.32 |  101.7 steps/s | 67.9 min
ep  3560 | step   415368 | reward    -8.19 | avg100    54.16 |  101.7 steps/s | 68.0 min
ep  3570 | step   416556 | reward     8.71 | avg100    55.95 |  101.7 steps/s | 68.3 min
ep  3580 | step   417684 | reward    78.32 | avg100    52.40 |  101.7 steps/s | 68.5 min
ep  3590 | step   419016 | reward    -0.64 | avg100    53.16 |  101.7 steps/s | 68.6 min
ep  3600 | step   420138 | reward   153.42 | avg100    53.64 |  101.7 steps/s | 68.9 min
ep  3610 | step   421326 | reward    76.08 | avg100    52.10 |  101.7 steps/s | 69.0 min
ep  3620 | step   422730 | reward   152.46 | avg100    53.03 |  101.7 steps/s | 69.3 min
ep  3630 | step   423630 | reward   136.84 | avg100    56.63 |  101.7 steps/s | 69.4 min
ep  3640 | step   424860 | reward    44.72 | avg100    56.44 |  101.7 steps/s | 69.6 min
ep  3650 | step   426042 | reward    18.64 | avg100    55.50 |  101.7 steps/s | 69.8 min
ep  3660 | step   427254 | reward     1.31 | avg100    58.65 |  101.7 steps/s | 70.0 min
ep  3670 | step   428580 | reward    59.42 | avg100    58.55 |  101.7 steps/s | 70.2 min
ep  3680 | step   429564 | reward    -8.29 | avg100    60.28 |  101.7 steps/s | 70.4 min
ep  3690 | step   430902 | reward    28.47 | avg100    59.43 |  101.7 steps/s | 70.6 min
ep  3700 | step   432042 | reward   -41.19 | avg100    57.01 |  101.7 steps/s | 70.8 min
ep  3710 | step   433164 | reward    95.92 | avg100    59.60 |  101.7 steps/s | 71.0 min
ep  3720 | step   434472 | reward   123.33 | avg100    59.45 |  101.7 steps/s | 71.2 min
ep  3730 | step   435642 | reward    88.09 | avg100    58.13 |  101.7 steps/s | 71.4 min
ep  3740 | step   436698 | reward   -11.59 | avg100    60.80 |  101.7 steps/s | 71.5 min
ep  3750 | step   438018 | reward    56.46 | avg100    59.77 |  101.7 steps/s | 71.8 min
ep  3760 | step   439308 | reward    63.99 | avg100    59.55 |  101.7 steps/s | 72.0 min
ep  3770 | step   440202 | reward   -24.62 | avg100    56.58 |  101.7 steps/s | 72.1 min
ep  3780 | step   441480 | reward   -46.90 | avg100    55.04 |  101.7 steps/s | 72.3 min
ep  3790 | step   442758 | reward    70.66 | avg100    54.41 |  101.7 steps/s | 72.5 min
ep  3800 | step   443640 | reward   -11.82 | avg100    51.12 |  101.7 steps/s | 72.7 min
ep  3810 | step   445074 | reward   138.46 | avg100    53.18 |  101.7 steps/s | 72.9 min
ep  3820 | step   446280 | reward    17.54 | avg100    49.93 |  101.7 steps/s | 73.1 min
ep  3830 | step   447348 | reward    85.81 | avg100    51.94 |  101.7 steps/s | 73.3 min
ep  3840 | step   448728 | reward     8.80 | avg100    52.87 |  101.7 steps/s | 73.5 min
ep  3850 | step   449934 | reward    93.77 | avg100    52.29 |  101.7 steps/s | 73.7 min
ep  3860 | step   450996 | reward   139.29 | avg100    52.81 |  101.7 steps/s | 73.9 min
ep  3870 | step   452280 | reward    56.00 | avg100    60.30 |  101.7 steps/s | 74.1 min
ep  3880 | step   453630 | reward    25.44 | avg100    64.88 |  101.7 steps/s | 74.3 min
ep  3890 | step   454524 | reward    85.71 | avg100    63.41 |  101.7 steps/s | 74.5 min
ep  3900 | step   455874 | reward   -17.27 | avg100    67.73 |  101.7 steps/s | 74.7 min
ep  3910 | step   457278 | reward    -3.78 | avg100    68.42 |  101.7 steps/s | 74.9 min
ep  3920 | step   458196 | reward   110.88 | avg100    71.45 |  101.7 steps/s | 75.1 min
ep  3930 | step   459624 | reward   125.59 | avg100    72.27 |  101.7 steps/s | 75.3 min
ep  3940 | step   460788 | reward    87.71 | avg100    69.66 |  101.7 steps/s | 75.5 min
ep  3950 | step   461868 | reward   135.71 | avg100    69.17 |  101.7 steps/s | 75.7 min
ep  3960 | step   463200 | reward    28.13 | avg100    65.62 |  101.7 steps/s | 75.9 min
ep  3970 | step   464394 | reward    24.54 | avg100    61.95 |  101.7 steps/s | 76.1 min
ep  3980 | step   465582 | reward    95.58 | avg100    57.73 |  101.7 steps/s | 76.3 min
ep  3990 | step   466758 | reward     3.87 | avg100    57.51 |  101.7 steps/s | 76.5 min
ep  4000 | step   467922 | reward    92.42 | avg100    59.65 |  101.7 steps/s | 76.7 min
ep  4010 | step   469266 | reward    34.48 | avg100    55.83 |  101.7 steps/s | 76.9 min
ep  4020 | step   470400 | reward    20.63 | avg100    56.80 |  101.7 steps/s | 77.1 min
ep  4030 | step   471660 | reward    89.19 | avg100    50.53 |  101.7 steps/s | 77.3 min
ep  4040 | step   472764 | reward   136.36 | avg100    54.58 |  101.7 steps/s | 77.5 min
ep  4050 | step   474000 | reward    87.92 | avg100    53.58 |  101.7 steps/s | 77.7 min
ep  4060 | step   475278 | reward    48.79 | avg100    53.51 |  101.7 steps/s | 77.9 min
ep  4070 | step   476484 | reward     4.84 | avg100    50.10 |  101.7 steps/s | 78.1 min
ep  4080 | step   477528 | reward    81.49 | avg100    50.25 |  101.7 steps/s | 78.3 min
ep  4090 | step   478656 | reward   -18.93 | avg100    48.28 |  101.7 steps/s | 78.4 min
ep  4100 | step   479850 | reward    49.85 | avg100    45.12 |  101.7 steps/s | 78.6 min
ep  4110 | step   481074 | reward    -2.69 | avg100    40.55 |  101.7 steps/s | 78.8 min
ep  4120 | step   482118 | reward    39.78 | avg100    35.94 |  101.7 steps/s | 79.0 min
ep  4130 | step   483240 | reward    47.65 | avg100    35.64 |  101.7 steps/s | 79.2 min
ep  4140 | step   484674 | reward   106.11 | avg100    33.18 |  101.7 steps/s | 79.4 min
ep  4150 | step   485688 | reward    -8.66 | avg100    31.60 |  101.7 steps/s | 79.6 min
ep  4160 | step   486912 | reward    17.45 | avg100    26.11 |  101.7 steps/s | 79.8 min
ep  4170 | step   488202 | reward    35.31 | avg100    31.53 |  101.7 steps/s | 80.0 min
ep  4180 | step   489168 | reward    64.09 | avg100    30.97 |  101.7 steps/s | 80.1 min
ep  4190 | step   490500 | reward     7.74 | avg100    37.13 |  101.7 steps/s | 80.4 min
ep  4200 | step   491886 | reward    15.23 | avg100    36.07 |  101.7 steps/s | 80.6 min
ep  4210 | step   492918 | reward    35.42 | avg100    42.43 |  101.7 steps/s | 80.8 min
ep  4220 | step   494112 | reward   -16.03 | avg100    41.07 |  101.7 steps/s | 81.0 min
ep  4230 | step   495474 | reward     8.57 | avg100    44.83 |  101.7 steps/s | 81.2 min
ep  4240 | step   496668 | reward    66.67 | avg100    45.47 |  101.7 steps/s | 81.4 min
ep  4250 | step   497724 | reward    71.88 | avg100    47.72 |  101.7 steps/s | 81.6 min
ep  4260 | step   499074 | reward    89.78 | avg100    51.73 |  101.7 steps/s | 81.8 min
ep  4270 | step   500298 | reward    98.63 | avg100    49.38 |  101.7 steps/s | 82.0 min
ep  4280 | step   501462 | reward   108.19 | avg100    53.81 |  101.7 steps/s | 82.2 min
ep  4290 | step   502710 | reward   137.55 | avg100    56.72 |  101.7 steps/s | 82.4 min
ep  4300 | step   503946 | reward   122.97 | avg100    63.04 |  101.7 steps/s | 82.6 min
ep  4310 | step   505212 | reward    33.56 | avg100    62.68 |  101.7 steps/s | 82.8 min
ep  4320 | step   506418 | reward   -11.25 | avg100    66.06 |  101.7 steps/s | 83.0 min
ep  4330 | step   507648 | reward    90.84 | avg100    68.39 |  101.7 steps/s | 83.2 min
ep  4340 | step   508962 | reward    81.82 | avg100    71.60 |  101.7 steps/s | 83.4 min
ep  4350 | step   510018 | reward   164.15 | avg100    72.38 |  101.7 steps/s | 83.6 min
ep  4360 | step   511140 | reward   -23.82 | avg100    70.12 |  101.7 steps/s | 83.7 min
ep  4370 | step   512268 | reward    96.36 | avg100    67.46 |  101.7 steps/s | 83.9 min
ep  4380 | step   513678 | reward    84.47 | avg100    65.70 |  101.7 steps/s | 84.2 min
ep  4390 | step   514602 | reward    35.04 | avg100    60.08 |  101.7 steps/s | 84.3 min
ep  4400 | step   515922 | reward   -10.09 | avg100    52.72 |  101.7 steps/s | 84.5 min
ep  4410 | step   517098 | reward    73.77 | avg100    50.97 |  101.7 steps/s | 84.7 min
ep  4420 | step   518142 | reward    77.94 | avg100    51.38 |  101.7 steps/s | 84.9 min
ep  4430 | step   519558 | reward    97.95 | avg100    52.18 |  101.7 steps/s | 85.1 min
ep  4440 | step   520848 | reward    71.23 | avg100    50.10 |  101.7 steps/s | 85.3 min
ep  4450 | step   521808 | reward    50.82 | avg100    47.85 |  101.7 steps/s | 85.5 min
ep  4460 | step   523098 | reward   114.04 | avg100    53.45 |  101.7 steps/s | 85.7 min
ep  4470 | step   524304 | reward    -0.75 | avg100    56.87 |  101.7 steps/s | 85.9 min
ep  4480 | step   525408 | reward    47.26 | avg100    55.78 |  101.7 steps/s | 86.1 min
ep  4490 | step   526674 | reward   124.42 | avg100    58.29 |  101.7 steps/s | 86.3 min
ep  4500 | step   527742 | reward     4.54 | avg100    62.34 |  101.7 steps/s | 86.5 min
ep  4510 | step   528864 | reward    50.00 | avg100    59.17 |  101.7 steps/s | 86.6 min
ep  4520 | step   530220 | reward    -5.70 | avg100    55.18 |  101.7 steps/s | 86.9 min
ep  4530 | step   531120 | reward   -14.98 | avg100    50.95 |  101.7 steps/s | 87.0 min
ep  4540 | step   532404 | reward    50.33 | avg100    46.68 |  101.7 steps/s | 87.2 min
ep  4550 | step   533616 | reward   -12.68 | avg100    44.64 |  101.7 steps/s | 87.4 min
ep  4560 | step   534726 | reward    84.52 | avg100    40.04 |  101.7 steps/s | 87.6 min
ep  4570 | step   535854 | reward   161.82 | avg100    37.90 |  101.7 steps/s | 87.8 min
ep  4580 | step   536976 | reward    51.82 | avg100    36.82 |  101.7 steps/s | 88.0 min
ep  4590 | step   538338 | reward     1.32 | avg100    35.16 |  101.7 steps/s | 88.2 min
ep  4600 | step   539454 | reward    38.05 | avg100    35.39 |  101.8 steps/s | 88.4 min
ep  4610 | step   540726 | reward   146.95 | avg100    40.84 |  101.7 steps/s | 88.6 min
ep  4620 | step   542088 | reward    99.32 | avg100    42.82 |  101.7 steps/s | 88.8 min
ep  4630 | step   542892 | reward    32.72 | avg100    41.28 |  101.7 steps/s | 88.9 min
ep  4640 | step   544290 | reward    72.30 | avg100    46.32 |  101.7 steps/s | 89.2 min
ep  4650 | step   545490 | reward   -24.62 | avg100    50.43 |  101.7 steps/s | 89.4 min
ep  4660 | step   546546 | reward   100.73 | avg100    53.89 |  101.7 steps/s | 89.5 min
ep  4670 | step   547896 | reward    12.49 | avg100    53.27 |  101.7 steps/s | 89.8 min
ep  4680 | step   549138 | reward   -10.72 | avg100    53.38 |  101.7 steps/s | 90.0 min
ep  4690 | step   550146 | reward    89.83 | avg100    54.42 |  101.7 steps/s | 90.1 min
ep  4700 | step   551394 | reward    56.58 | avg100    50.98 |  101.8 steps/s | 90.3 min
ep  4710 | step   552558 | reward   -49.39 | avg100    47.58 |  101.7 steps/s | 90.5 min
ep  4720 | step   553896 | reward   125.17 | avg100    50.00 |  101.7 steps/s | 90.8 min
ep  4730 | step   555138 | reward   132.56 | avg100    52.65 |  101.7 steps/s | 90.9 min
ep  4740 | step   556176 | reward    65.49 | avg100    49.52 |  101.7 steps/s | 91.1 min
ep  4750 | step   557346 | reward   -63.64 | avg100    47.18 |  101.7 steps/s | 91.3 min
ep  4760 | step   558456 | reward    -7.95 | avg100    43.07 |  101.7 steps/s | 91.5 min
ep  4770 | step   559680 | reward    62.25 | avg100    46.48 |  101.7 steps/s | 91.7 min
ep  4780 | step   560898 | reward    -4.94 | avg100    45.01 |  101.7 steps/s | 91.9 min
ep  4790 | step   562038 | reward   -30.33 | avg100    42.26 |  101.7 steps/s | 92.1 min
ep  4800 | step   563172 | reward   102.95 | avg100    45.21 |  101.7 steps/s | 92.3 min
ep  4810 | step   564312 | reward   -15.25 | avg100    50.24 |  101.7 steps/s | 92.5 min
ep  4820 | step   565638 | reward   161.03 | avg100    51.28 |  101.7 steps/s | 92.7 min
ep  4830 | step   566922 | reward    93.10 | avg100    53.21 |  101.7 steps/s | 92.9 min
ep  4840 | step   567912 | reward   134.09 | avg100    56.84 |  101.7 steps/s | 93.1 min
ep  4850 | step   569310 | reward     5.40 | avg100    61.01 |  101.7 steps/s | 93.3 min
ep  4860 | step   570522 | reward   111.92 | avg100    67.69 |  101.7 steps/s | 93.5 min
ep  4870 | step   571650 | reward   121.80 | avg100    66.43 |  101.7 steps/s | 93.7 min
ep  4880 | step   572826 | reward   137.93 | avg100    67.87 |  101.7 steps/s | 93.8 min
ep  4890 | step   573942 | reward   -12.81 | avg100    68.32 |  101.7 steps/s | 94.0 min
ep  4900 | step   575160 | reward    33.89 | avg100    63.86 |  101.7 steps/s | 94.2 min
ep  4910 | step   576360 | reward   -22.00 | avg100    58.92 |  101.7 steps/s | 94.4 min
ep  4920 | step   577506 | reward    81.49 | avg100    55.43 |  101.7 steps/s | 94.6 min
ep  4930 | step   578676 | reward    83.28 | avg100    55.11 |  101.7 steps/s | 94.8 min
ep  4940 | step   579948 | reward    50.38 | avg100    52.27 |  101.7 steps/s | 95.0 min
ep  4950 | step   581040 | reward     3.13 | avg100    48.69 |  101.7 steps/s | 95.2 min
ep  4960 | step   582132 | reward    63.14 | avg100    44.58 |  101.7 steps/s | 95.4 min
ep  4970 | step   583482 | reward   194.55 | avg100    45.25 |  101.7 steps/s | 95.6 min
ep  4980 | step   584640 | reward     2.27 | avg100    46.38 |  101.7 steps/s | 95.8 min
ep  4990 | step   585810 | reward    95.44 | avg100    49.01 |  101.7 steps/s | 96.0 min
ep  5000 | step   586950 | reward    10.09 | avg100    54.17 |  101.7 steps/s | 96.2 min
ep  5010 | step   588138 | reward    25.44 | avg100    58.85 |  101.7 steps/s | 96.4 min
ep  5020 | step   589512 | reward    94.61 | avg100    60.85 |  101.7 steps/s | 96.6 min
ep  5030 | step   590652 | reward     5.49 | avg100    61.92 |  101.7 steps/s | 96.8 min
ep  5040 | step   591762 | reward    64.52 | avg100    64.20 |  101.7 steps/s | 97.0 min
ep  5050 | step   593112 | reward    57.26 | avg100    64.69 |  101.7 steps/s | 97.2 min
ep  5060 | step   594216 | reward    73.91 | avg100    66.67 |  101.7 steps/s | 97.4 min
ep  5070 | step   595314 | reward   -33.64 | avg100    67.45 |  101.7 steps/s | 97.5 min
ep  5080 | step   596682 | reward    78.32 | avg100    67.23 |  101.7 steps/s | 97.8 min
ep  5090 | step   597816 | reward   125.56 | avg100    69.93 |  101.7 steps/s | 98.0 min
ep  5100 | step   598872 | reward    31.58 | avg100    65.99 |  101.7 steps/s | 98.1 min
ep  5110 | step   600102 | reward    -0.46 | avg100    56.27 |  101.7 steps/s | 98.3 min
ep  5120 | step   601374 | reward    83.28 | avg100    56.58 |  101.7 steps/s | 98.5 min
ep  5130 | step   602358 | reward   -24.03 | avg100    53.21 |  101.7 steps/s | 98.7 min
ep  5140 | step   603624 | reward   154.61 | avg100    51.33 |  101.7 steps/s | 98.9 min
ep  5150 | step   604758 | reward   -44.60 | avg100    53.50 |  101.7 steps/s | 99.1 min
ep  5160 | step   605802 | reward    12.80 | avg100    49.59 |  101.7 steps/s | 99.3 min
ep  5170 | step   607128 | reward     9.60 | avg100    50.90 |  101.7 steps/s | 99.5 min
ep  5180 | step   608298 | reward    53.85 | avg100    51.25 |  101.7 steps/s | 99.7 min
ep  5190 | step   609480 | reward    42.86 | avg100    54.22 |  101.7 steps/s | 99.9 min
ep  5200 | step   610830 | reward   155.10 | avg100    60.68 |  101.7 steps/s | 100.1 min
ep  5210 | step   612048 | reward    33.20 | avg100    69.72 |  101.7 steps/s | 100.3 min
ep  5220 | step   613170 | reward    51.52 | avg100    65.50 |  101.7 steps/s | 100.4 min
ep  5230 | step   614394 | reward    71.25 | avg100    69.60 |  101.7 steps/s | 100.7 min
ep  5240 | step   615648 | reward   111.41 | avg100    70.21 |  101.7 steps/s | 100.9 min
ep  5250 | step   616680 | reward    45.63 | avg100    65.23 |  101.7 steps/s | 101.0 min
ep  5260 | step   617790 | reward   -12.92 | avg100    67.35 |  101.7 steps/s | 101.2 min
ep  5270 | step   619068 | reward   108.21 | avg100    60.81 |  101.7 steps/s | 101.4 min
ep  5280 | step   620166 | reward   139.73 | avg100    68.21 |  101.7 steps/s | 101.6 min
ep  5290 | step   621450 | reward    45.63 | avg100    64.08 |  101.7 steps/s | 101.8 min
ep  5300 | step   622800 | reward   -20.96 | avg100    63.69 |  101.7 steps/s | 102.0 min
ep  5310 | step   623892 | reward    79.21 | avg100    62.83 |  101.7 steps/s | 102.2 min
ep  5320 | step   625032 | reward   170.83 | avg100    64.60 |  101.7 steps/s | 102.4 min
ep  5330 | step   626268 | reward   121.85 | avg100    67.07 |  101.7 steps/s | 102.6 min
ep  5340 | step   627606 | reward    51.60 | avg100    65.74 |  101.7 steps/s | 102.8 min
ep  5350 | step   628584 | reward    -5.20 | avg100    68.56 |  101.7 steps/s | 103.0 min
ep  5360 | step   629790 | reward    98.35 | avg100    67.29 |  101.7 steps/s | 103.2 min
ep  5370 | step   630924 | reward   130.48 | avg100    69.72 |  101.7 steps/s | 103.4 min
ep  5380 | step   632058 | reward   125.17 | avg100    58.27 |  101.7 steps/s | 103.6 min
ep  5390 | step   633240 | reward    93.33 | avg100    55.27 |  101.7 steps/s | 103.7 min
ep  5400 | step   634410 | reward    27.66 | avg100    46.26 |  101.7 steps/s | 103.9 min
ep  5410 | step   635340 | reward    24.57 | avg100    40.39 |  101.7 steps/s | 104.1 min
ep  5420 | step   636654 | reward    -0.27 | avg100    41.38 |  101.7 steps/s | 104.3 min
ep  5430 | step   638004 | reward   -26.31 | avg100    35.10 |  101.7 steps/s | 104.5 min
ep  5440 | step   639090 | reward    63.12 | avg100    37.14 |  101.7 steps/s | 104.7 min
ep  5450 | step   640194 | reward    77.78 | avg100    39.51 |  101.7 steps/s | 104.9 min
ep  5460 | step   641544 | reward   -40.91 | avg100    42.46 |  101.7 steps/s | 105.1 min
ep  5470 | step   642840 | reward   116.61 | avg100    43.46 |  101.7 steps/s | 105.3 min
ep  5480 | step   643734 | reward    23.27 | avg100    47.41 |  101.7 steps/s | 105.5 min
ep  5490 | step   645102 | reward    32.94 | avg100    49.55 |  101.7 steps/s | 105.7 min
ep  5500 | step   646440 | reward   -45.41 | avg100    53.54 |  101.7 steps/s | 105.9 min
ep  5510 | step   647424 | reward    88.93 | avg100    58.69 |  101.7 steps/s | 106.1 min
ep  5520 | step   648690 | reward    45.02 | avg100    57.62 |  101.7 steps/s | 106.3 min
ep  5530 | step   650040 | reward   159.65 | avg100    56.83 |  101.7 steps/s | 106.5 min
ep  5540 | step   651024 | reward    76.70 | avg100    56.57 |  101.7 steps/s | 106.6 min
ep  5550 | step   652200 | reward    13.21 | avg100    53.41 |  101.7 steps/s | 106.9 min
ep  5560 | step   653430 | reward   -41.09 | avg100    50.62 |  101.7 steps/s | 107.1 min
ep  5570 | step   654426 | reward   179.41 | avg100    48.79 |  101.7 steps/s | 107.2 min
ep  5580 | step   655680 | reward   -32.36 | avg100    45.62 |  101.7 steps/s | 107.4 min
ep  5590 | step   656760 | reward    85.19 | avg100    43.61 |  101.7 steps/s | 107.6 min
ep  5600 | step   657918 | reward    55.88 | avg100    43.24 |  101.7 steps/s | 107.8 min
ep  5610 | step   659004 | reward    -6.86 | avg100    39.08 |  101.7 steps/s | 108.0 min
ep  5620 | step   660168 | reward   153.47 | avg100    41.66 |  101.7 steps/s | 108.2 min
ep  5630 | step   661296 | reward   -29.32 | avg100    36.12 |  101.7 steps/s | 108.3 min
ep  5640 | step   662472 | reward    -4.96 | avg100    32.21 |  101.7 steps/s | 108.5 min
ep  5650 | step   663606 | reward     1.70 | avg100    30.10 |  101.7 steps/s | 108.7 min
ep  5660 | step   664632 | reward     1.31 | avg100    27.95 |  101.7 steps/s | 108.9 min
ep  5670 | step   665892 | reward   -25.58 | avg100    24.37 |  101.7 steps/s | 109.1 min
ep  5680 | step   666732 | reward   -13.43 | avg100    24.07 |  101.7 steps/s | 109.2 min
ep  5690 | step   668052 | reward    -4.28 | avg100    20.48 |  101.7 steps/s | 109.5 min
ep  5700 | step   669180 | reward    -5.00 | avg100    18.81 |  101.7 steps/s | 109.6 min
ep  5710 | step   670326 | reward    -3.65 | avg100    16.29 |  101.7 steps/s | 109.8 min
ep  5720 | step   671364 | reward   -41.66 | avg100    12.48 |  101.7 steps/s | 110.0 min
ep  5730 | step   672606 | reward    -3.51 | avg100    15.00 |  101.7 steps/s | 110.2 min
ep  5740 | step   673590 | reward    -0.42 | avg100    12.67 |  101.7 steps/s | 110.4 min
ep  5750 | step   674688 | reward    -6.30 | avg100    10.53 |  101.7 steps/s | 110.5 min
ep  5760 | step   676032 | reward   -57.66 | avg100    12.07 |  101.7 steps/s | 110.8 min
ep  5770 | step   677100 | reward    41.57 | avg100    13.16 |  101.7 steps/s | 110.9 min
ep  5780 | step   678042 | reward     6.04 | avg100    11.88 |  101.7 steps/s | 111.1 min
ep  5790 | step   679200 | reward   -35.49 | avg100    11.44 |  101.7 steps/s | 111.3 min
